Login Ui Page,691,757,770,863,901,970,136,4498,0.000%,.53615,0.41,0.14
Send OTP ,691,1250,1271,1400,1440,1563,486,4470,0.000%,.53569,0.40,0.18
OpenLogin ,689,6431,6151,11077,12897,13478,1171,16359,0.000%,.53371,3.40,0.24
Product Listing Page (PLP),686,12,12,15,16,20,10,57,0.000%,.53371,14.14,0.30
Get Product List for Compare,683,1009,1040,1160,1202,1264,150,1845,0.000%,.53151,0.42,0.19
To Add Product To Compare,680,3486,3605,3866,3941,4060,470,6721,0.000%,.52966,0.44,0.21
Get Compare List after adding Product,678,3669,3661,4365,4510,4767,695,7865,0.000%,.53142,0.79,0.20
To Remove Product from Compare List ,678,3455,3571,3854,3924,4098,475,6972,0.000%,.53023,0.43,0.19
Product Description Page (PDP),678,5131,5304,5620,5739,5976,856,9141,0.000%,.52914,8.56,0.14
Get Product details with seller,672,5101,5244,5588,5694,5919,867,6620,0.000%,.52534,3.05,0.15
Add Product to WishList,668,13487,12927,19659,20148,20710,3328,21607,0.000%,.52164,0.36,0.17
Add To Cart,661,9512,5823,18829,19516,20265,1605,23808,0.000%,.51838,0.51,0.43
Buy Now ,654,9210,5932,18406,18816,19688,1216,21552,0.000%,.51432,0.51,0.30
Instabuy pop-up,648,3060,1169,5962,6459,6830,182,7640,3.086%,.51103,1.07,0.16
Exchange Pop-up,646,1643,1675,1816,1855,1946,254,4289,0.000%,.51079,1.83,0.13
Remove Exchange,645,1138,1147,1281,1312,1382,252,5142,0.000%,.51122,0.40,0.18
Deactivate Exchange,644,1145,1143,1273,1305,1366,213,4862,0.000%,.51149,0.40,0.18
Notify Me (if product is out of stock),644,889,887,993,1026,1103,162,4886,0.000%,.51119,0.39,0.24
Place Order,643,4843,3692,10699,16963,17851,760,18528,0.778%,.51019,47.61,0.18
TOTAL,12679,3955,3369,11027,13260,19463,10,23808,0.197%,9.77825,83.35,3.84
