Login Ui Page,441,1603,1695,1830,1890,2537,342,2600,0.000%,.49049,0.38,0.13
Send OTP ,441,2315,2512,2649,2706,2844,465,3029,0.000%,.48935,0.36,0.16
OpenLogin ,437,24826,9438,101786,112536,114816,2710,115717,0.000%,.47597,24.05,0.21
Product Listing Page (PLP),425,18,14,31,39,71,9,233,0.000%,.47583,3.22,0.26
Get Product List for Compare,423,2015,2160,2287,2331,2452,148,2533,0.000%,.47459,0.38,0.14
To Add Product To Compare,422,7560,8114,8382,8427,8526,747,8646,0.000%,.47161,0.39,0.18
Get Compare List after adding Product,420,7775,7879,9092,9256,9432,690,9737,0.000%,.46945,0.65,0.14
To Remove Product from Compare List ,414,7688,8073,8337,8425,8574,1561,8795,0.000%,.46422,0.37,0.17
Product Description Page (PDP),411,12180,12542,13339,13551,13806,3569,13860,0.000%,.46173,40.14,0.13
Get Product details with seller,408,11924,12219,12616,12703,12904,4116,13001,0.000%,.45969,5.89,0.13
Add Product to WishList,403,15375,14862,18732,19065,19585,7355,19800,0.000%,.45681,0.32,0.14
Add To Cart,396,37287,26352,103417,120022,120040,10262,120097,8.333%,.44528,0.45,0.37
Buy Now ,378,35039,23663,52189,120024,120035,13391,120054,8.466%,.43168,0.44,0.25
Instabuy pop-up,360,13032,13380,15986,17365,18406,1929,18862,2.222%,.42488,1.93,0.13
Exchange Pop-up,356,3788,3789,3954,4001,4076,3339,4196,0.000%,.42910,1.53,0.11
Remove Exchange,351,2554,2549,2681,2711,2775,2191,2936,0.000%,.42582,0.33,0.15
Deactivate Exchange,349,2554,2547,2692,2735,2810,2180,2871,0.000%,.42497,0.33,0.15
Notify Me (if product is out of stock),348,1967,1962,2096,2139,2241,1707,2281,0.000%,.42821,0.33,0.20
Place Order,348,14970,10657,24953,37536,60096,2150,120004,0.287%,.41654,106.00,0.13
TOTAL,7531,10739,7848,23169,35771,115378,9,120097,0.983%,8.15371,174.88,3.11
