Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,174,174,174,174,174,174,174,0.000%,5.74713,4.43,1.48
OpenLogin ,1,1268,1268,1268,1268,1268,1268,1268,0.000%,.78864,1.35,0.27
TriggerOTP ,1,735,735,735,735,735,735,735,0.000%,1.36054,4.92,0.72
Product Listing Page (PLP),1,29,29,29,29,29,29,29,0.000%,34.48276,1123.99,19.03
Get Product List for Compare,1,165,165,165,165,165,165,165,0.000%,6.06061,4.84,1.81
To Add Product To Compare ,1,420,420,420,420,420,420,420,0.000%,2.38095,1.87,0.87
Get Compare List after adding Product,1,496,496,496,496,496,496,496,0.000%,2.01613,2.20,0.62
To Remove Product from Compare List,1,392,392,392,392,392,392,392,0.000%,2.55102,2.01,0.89
Product Description Page (PDP),1,691,691,691,691,691,691,691,0.000%,1.44718,13.67,0.38
Get Product details with seller,1,258,258,258,258,258,258,258,0.000%,3.87597,15.00,1.07
Add Product to WishList,1,613,613,613,613,613,613,613,0.000%,1.63132,1.14,0.47
Add To Cart,1,2991,2991,2991,2991,2991,2991,2991,0.000%,.33434,0.35,0.27
Buy Now ,1,2876,2876,2876,2876,2876,2876,2876,0.000%,.34771,0.37,0.28
Instabuy pop-up,1,999,999,999,999,999,999,999,0.000%,1.00100,3.48,0.30
Exchange Pop-up,1,168,168,168,168,168,168,168,0.000%,5.95238,21.28,1.47
Remove Exchange,1,126,126,126,126,126,126,126,0.000%,7.93651,6.14,2.90
Deactivate Exchange,1,119,119,119,119,119,119,119,0.000%,8.40336,6.53,3.08
Notify Me (if product is out of stock),1,103,103,103,103,103,103,103,0.000%,9.70874,7.45,4.38
Place Order,1,492,492,492,492,492,492,492,0.000%,2.03252,1.57,0.75
TOTAL,19,690,420,1268,2876,2991,29,2991,0.000%,1.35270,4.87,0.54
