Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,40,154,146,180,191,264,130,264,0.000%,.13620,0.11,0.03
Send OTP ,40,437,433,460,472,522,402,522,0.000%,.13607,0.10,0.05
OpenLogin,40,10725,10701,10822,10911,11266,10612,11266,0.000%,.13151,0.84,0.06
Product Listing Page (PLP),40,15,14,16,19,37,12,37,0.000%,.13632,4.32,0.08
Get Product List for Compare,40,176,172,203,209,211,155,211,0.000%,.13625,0.11,0.05
To Add Product To Compare,40,522,512,643,666,695,169,695,0.000%,.13610,0.11,0.06
Get Compare List after adding Product,39,620,607,702,741,837,518,837,0.000%,.13410,0.17,0.05
To Remove Product from Compare List ,39,440,496,571,621,650,158,650,0.000%,.13420,0.11,0.05
Product Description Page (PDP),39,902,897,1019,1041,1187,725,1187,0.000%,.13388,14.31,0.04
Get Product details with seller,39,812,789,908,914,1012,732,1012,0.000%,.13399,0.77,0.04
Add Product to WishList,38,1483,1463,1678,1723,1762,1244,1762,0.000%,.13108,0.09,0.04
Add To Cart,38,11805,12168,12383,12399,12447,10745,12447,0.000%,.12633,0.12,0.11
Buy Now ,35,11750,12191,12385,12403,12451,10722,12451,0.000%,.13228,0.13,0.08
Instabuy pop-up,35,164,165,176,182,187,152,187,0.000%,.13781,0.09,0.04
Exchange Pop-up,35,244,240,261,273,305,227,305,0.000%,.13778,0.49,0.03
Remove Exchange,35,176,174,193,198,206,164,206,0.000%,.13781,0.11,0.05
Deactivate Exchange,35,178,178,186,192,194,169,194,0.000%,.13783,0.11,0.05
Notify Me (if product is out of stock) ,35,140,138,148,158,206,129,206,0.000%,.13786,0.11,0.07
Place Order,35,567,579,636,644,664,469,664,0.000%,.13767,0.13,0.05
TOTAL,717,2172,480,10765,12191,12389,12,12451,0.000%,2.25789,20.40,0.90
