Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,80,162,153,192,220,245,131,248,0.000%,.26154,0.20,0.07
Send OTP ,80,448,449,482,498,501,392,503,0.000%,.26130,0.19,0.09
OpenLogin,80,10785,10744,11026,11102,11176,10613,11230,0.000%,.25278,1.62,0.11
Product Listing Page (PLP),73,14,14,18,19,22,12,22,0.000%,.24723,7.84,0.14
Get Product List for Compare,73,195,190,226,239,302,154,313,0.000%,.24710,0.20,0.09
To Add Product To Compare,73,566,576,715,754,784,165,868,0.000%,.24681,0.20,0.10
Get Compare List after adding Product,73,728,719,947,971,1009,526,1032,0.000%,.24676,0.34,0.09
To Remove Product from Compare List ,73,486,546,684,711,750,166,990,0.000%,.24685,0.19,0.10
Product Description Page (PDP),73,1033,1012,1251,1292,1465,742,1529,0.000%,.24627,26.82,0.07
Get Product details with seller,73,933,911,1099,1136,1200,717,1289,0.000%,.24631,1.43,0.07
Add Product to WishList,73,1639,1615,1922,2029,2188,1283,2188,0.000%,.24574,0.17,0.08
Add To Cart,71,11874,12265,12543,12585,12639,10727,12647,0.000%,.23390,0.22,0.20
Buy Now ,70,11826,12178,12466,12576,12657,10721,12709,0.000%,.25374,0.24,0.15
Instabuy pop-up,70,179,172,210,219,291,150,297,0.000%,.26520,0.17,0.08
Exchange Pop-up,70,264,256,299,314,337,229,352,0.000%,.26508,0.95,0.07
Remove Exchange,70,191,187,218,227,236,164,236,0.000%,.26513,0.21,0.10
Deactivate Exchange,70,198,186,235,238,266,169,274,0.000%,.26510,0.21,0.10
Notify Me (if product is out of stock) ,70,153,147,181,186,218,126,221,0.000%,.26512,0.20,0.13
Place Order,70,628,622,762,786,793,474,855,0.000%,.26462,0.25,0.10
TOTAL,1385,2241,498,10808,12227,12539,12,12709,0.000%,4.33506,38.51,1.73
