Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,139,139,139,139,139,139,139,0.000%,7.19424,5.57,1.85
Send OTP ,1,433,433,433,433,433,433,433,0.000%,2.30947,1.71,0.78
OpenLogin,1,10634,10634,10634,10634,10634,10634,10634,0.000%,.09404,0.60,0.04
Product Listing Page (PLP),1,14,14,14,14,14,14,14,0.000%,71.42857,2264.23,39.41
Get Product List for Compare,1,153,153,153,153,153,153,153,0.000%,6.53595,5.21,2.29
To Add Product To Compare,1,480,480,480,480,480,480,480,0.000%,2.08333,1.64,0.95
Get Compare List after adding Product,1,561,561,561,561,561,561,561,0.000%,1.78253,2.34,0.64
To Remove Product from Compare List ,1,484,484,484,484,484,484,484,0.000%,2.06612,1.63,0.90
Product Description Page (PDP),1,760,760,760,760,760,760,760,0.000%,1.31579,37.03,0.42
Get Product details with seller,1,725,725,725,725,725,725,725,0.000%,1.37931,5.47,0.46
Add Product to WishList,1,1349,1349,1349,1349,1349,1349,1349,0.000%,.74129,0.52,0.23
Add To Cart,1,12094,12094,12094,12094,12094,12094,12094,0.000%,.08269,0.08,0.07
Buy Now ,1,11976,11976,11976,11976,11976,11976,11976,0.000%,.08350,0.08,0.05
Instabuy pop-up,1,156,156,156,156,156,156,156,0.000%,6.41026,4.09,1.95
Exchange Pop-up,1,241,241,241,241,241,241,241,0.000%,4.14938,14.83,1.03
Remove Exchange,1,166,166,166,166,166,166,166,0.000%,6.02410,4.66,2.17
Deactivate Exchange,1,176,176,176,176,176,176,176,0.000%,5.68182,4.42,2.05
Notify Me (if product is out of stock) ,1,138,138,138,138,138,138,138,0.000%,7.24638,5.56,3.65
Place Order,1,593,593,593,593,593,593,593,0.000%,1.68634,1.70,0.63
TOTAL,19,2172,480,10634,11976,12094,14,12094,0.000%,.46033,2.07,0.19
