Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,810,65,52,89,142,284,36,866,0.00%,0.62776,0.62,0.16
OpenLogin ,810,6320,5909,6852,13801,14734,1113,17081,0.00%,0.62435,1.03,0.33
TriggerOTP,806,5254,5371,6136,6368,6905,669,8607,1.24%,0.62331,2.23,0.44
Product Listing Page (PLP),802,25,19,25,33,234,15,919,0.00%,0.62313,20,0.32
Get Product List for Compare,50,1711,1287,3731,3778,3937,270,3937,0.00%,0.54775,0.45,0.17
To Remove Product from Compare List ,50,4106,4023,6761,6991,7571,901,7571,0.00%,0.51511,0.43,0.19
Get Compare List after adding/removing Product,50,1731,1293,3544,3599,3953,315,3953,0.00%,0.5042,0.41,0.16
Product Description Page (PDP),802,4030,4136,4735,4952,5265,520,6385,0.00%,0.62175,5.37,0.17
Get Product details with seller,801,3997,4099,4722,4954,5311,394,5830,0.00%,0.62014,3.13,0.18
Add Product to WishList,800,9097,9347,10181,10473,10875,697,11486,1.25%,0.61915,0.44,0.18
Add To Cart,795,8672,9014,13156,14131,15126,606,16174,0.00%,0.61584,0.56,0.36
Buy Now ,790,8711,8982,13475,13919,14682,577,17041,0.00%,0.61287,0.56,0.35
Instabuy pop-up,783,7436,8508,9534,9857,10680,298,12033,4.98%,0.60785,1.48,0.19
Exchange Pop-up,777,4706,4766,5425,5578,5978,405,6613,0.00%,0.60481,2.19,0.15
Remove Exchange,772,3870,3909,4540,4717,5207,251,6074,0.00%,0.6033,0.48,0.22
Deactivate Exchange,772,3884,3926,4565,4731,5185,193,5966,0.00%,0.60095,0.48,0.22
Notify Me (if product is out of stock),768,3605,3642,4280,4447,4878,261,5538,0.00%,0.59842,0.47,0.28
Place Order,766,8847,8071,11033,19567,24176,887,25802,0.00%,0.59586,13.63,0.22
TOTAL,12004,5190,4501,9601,10393,14419,15,25802,0.49%,9.24785,52.34,3.79
