Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,1263,1263,1263,1263,1263,1263,1263,0.000%,.79177,0.61,0.20
OpenLogin ,1,1412,1412,1412,1412,1412,1412,1412,0.000%,.70822,1.22,0.25
TriggerOTP ,1,532,532,532,532,532,532,532,0.000%,1.87970,6.76,1.00
Product Listing Page (PLP),1,298,298,298,298,298,298,298,0.000%,3.35570,88.30,1.85
Get Product List for Compare,1,108,108,108,108,108,108,108,0.000%,9.25926,7.40,2.77
To Add Product To Compare ,1,642,642,642,642,642,642,642,0.000%,1.55763,1.23,0.58
Get Compare List after adding Product,1,339,339,339,339,339,339,339,0.000%,2.94985,3.19,0.91
To Remove Product from Compare List,1,302,302,302,302,302,302,302,0.000%,3.31126,2.62,1.17
Product Description Page (PDP),1,469,469,469,469,469,469,469,0.000%,2.13220,24.23,0.57
Get Product details with seller,1,515,515,515,515,515,515,515,0.000%,1.94175,7.80,0.55
Add Product to WishList,1,608,608,608,608,608,608,608,0.000%,1.64474,1.15,0.47
Add To Cart,1,2504,2504,2504,2504,2504,2504,2504,0.000%,.39936,0.42,0.33
Buy Now ,1,1885,1885,1885,1885,1885,1885,1885,0.000%,.53050,0.56,0.43
Instabuy pop-up,1,1067,1067,1067,1067,1067,1067,1067,0.000%,.93721,3.87,0.28
Exchange Pop-up,1,160,160,160,160,160,160,160,0.000%,6.25000,22.35,1.54
Remove Exchange,1,140,140,140,140,140,140,140,0.000%,7.14286,5.53,2.61
Deactivate Exchange,1,168,168,168,168,168,168,168,0.000%,5.95238,4.63,2.18
Notify Me (if product is out of stock),1,113,113,113,113,113,113,113,0.000%,8.84956,6.80,4.04
Place Order,1,1171,1171,1171,1171,1171,1171,1171,0.000%,.85397,0.98,0.32
TOTAL,19,720,515,1412,1885,2504,108,2504,0.000%,1.29041,4.43,0.52
