Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,214,7851,7627,10859,11855,17572,1552,18089,0.000%,.16501,0.13,0.04
TriggerOTP,213,7739,8043,11033,11652,12061,2282,12950,0.000%,.16689,0.12,0.06
OpenLogin ,211,29239,25158,48787,50487,52603,8052,53800,0.000%,.16414,15.47,0.07
Product Listing Page (PLP),205,17,13,30,34,50,10,96,0.000%,.16342,4.77,0.09
Get Product List for Compare,205,7929,8292,10566,11287,13438,1423,15340,0.000%,.16251,0.13,0.05
To Add Product To Compare,203,12843,12990,15803,16526,18472,6334,19710,0.000%,.16049,0.13,0.06
Get Compare List after adding Product,201,12988,12896,16842,18414,20216,6947,21112,0.000%,.16260,0.19,0.05
To Remove Product from Compare List ,201,13620,13503,15721,17662,21788,9144,23956,0.000%,.16181,0.13,0.06
Product Description Page (PDP),200,17347,16771,21141,23408,25306,11533,27566,0.000%,.16164,3.45,0.05
Get Product details with seller,195,17464,17157,20522,21097,23430,13565,24909,0.000%,.16228,0.79,0.05
Add Product to WishList,195,20448,19934,24648,25798,27516,14949,30783,0.000%,.16232,0.11,0.05
Add To Cart,192,42182,37696,59929,62292,67221,17706,72203,0.521%,.16075,0.17,0.13
Buy Now ,187,40270,36502,57427,58575,62659,17518,65029,0.000%,.16195,0.17,0.09
Instabuy pop-up,182,17688,17147,22989,25447,30229,6510,32961,6.044%,.16308,0.65,0.05
Exchange Pop-up,178,10676,10114,13428,16717,18570,6573,18967,0.000%,.16393,0.59,0.04
Remove Exchange,174,9532,9094,12122,13132,17761,5955,19062,0.000%,.16305,0.13,0.06
Deactivate Exchange,172,9042,8640,11565,12013,12910,6224,16820,0.000%,.16433,0.13,0.06
Notify Me (if product is out of stock),170,8325,8028,10589,10963,11944,4389,13326,0.000%,.16470,0.13,0.08
Place Order,169,24252,15257,53726,56975,59813,5912,61393,0.000%,.16390,24.86,0.06
TOTAL,3667,16204,12757,34917,47228,59087,10,72203,0.327%,2.80244,45.91,1.08
