Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,146,146,146,146,146,146,146,0.000%,6.84932,5.32,1.76
TriggerOTP ,1,581,581,581,581,581,581,581,0.000%,1.72117,1.28,0.58
OpenLogin 8860719477,1,1918,1918,1918,1918,1918,1918,1918,0.000%,.52138,5.21,0.24
Product Listing Page (PLP),1,13,13,13,13,13,13,13,0.000%,76.92308,2245.42,42.74
Get Product List for Compare,1,140,140,140,140,140,140,140,0.000%,7.14286,5.73,2.13
To Add Product To Compare,1,471,471,471,471,471,471,471,0.000%,2.12314,1.68,0.81
Get Compare List after adding Product,1,422,422,422,422,422,422,422,0.000%,2.36967,2.61,0.73
To Remove Product from Compare List ,1,452,452,452,452,452,452,452,0.000%,2.21239,1.75,0.80
Product Description Page (PDP),1,745,745,745,745,745,745,745,0.000%,1.34228,46.32,0.37
Get Product details with seller,1,759,759,759,759,759,759,759,0.000%,1.31752,6.14,0.38
Add Product to WishList,1,1028,1028,1028,1028,1028,1028,1028,0.000%,.97276,0.68,0.31
Add To Cart,1,2103,2103,2103,2103,2103,2103,2103,0.000%,.47551,0.46,0.40
Buy Now ,1,2698,2698,2698,2698,2698,2698,2698,0.000%,.37064,0.40,0.22
Instabuy pop-up,1,1491,1491,1491,1491,1491,1491,1491,0.000%,.67069,2.83,0.21
Exchange Pop-up,1,223,223,223,223,223,223,223,0.000%,4.48430,16.05,1.11
Remove Exchange,1,161,161,161,161,161,161,161,0.000%,6.21118,4.83,2.23
Deactivate Exchange,1,165,165,165,165,165,165,165,0.000%,6.06061,4.73,2.18
Notify Me (if product is out of stock),1,126,126,126,126,126,126,126,0.000%,7.93651,6.12,3.73
Place Order,1,2701,2701,2701,2701,2701,2701,2701,0.000%,.37023,0.44,0.14
TOTAL,19,860,471,2103,2698,2701,13,2701,0.000%,1.16208,5.96,0.45
