Login Ui Page,311,2848,2831,3176,3785,4710,1311,5860,0.000%,.34462,0.27,0.09
Send OTP ,309,3877,4046,4368,4523,5783,1976,7374,0.000%,.34252,0.25,0.11
OpenLogin ,307,31553,24334,67582,73545,77069,7298,78215,0.000%,.33429,13.36,0.15
Product Listing Page (PLP),300,18,16,33,35,39,12,48,0.000%,.34013,11.31,0.19
Get Product List for Compare,300,3971,4003,4314,4405,5101,2330,6626,0.000%,.33848,0.27,0.12
To Add Product To Compare,297,13710,13882,14735,15129,15568,8383,18738,0.000%,.33497,0.28,0.13
Get Compare List after adding Product,294,14054,14397,16538,17490,18242,3974,20642,0.000%,.33540,0.50,0.12
To Remove Product from Compare List ,291,13665,13624,14495,14772,15359,8550,19611,0.000%,.33557,0.27,0.12
Product Description Page (PDP),288,20806,20702,22438,23031,24779,13918,25524,0.000%,.33578,19.01,0.09
Get Product details with seller,280,20112,20115,21256,21815,22540,13445,25680,0.000%,.33593,4.47,0.10
Add Product to WishList,275,26475,25190,34059,35538,37349,15051,40982,0.000%,.33809,0.24,0.11
Add To Cart,271,48232,42387,82103,89308,100649,19843,103303,0.000%,.33774,0.34,0.28
Buy Now ,259,45185,40359,84026,88705,92731,21053,94861,0.000%,.33910,0.36,0.19
Instabuy pop-up,246,20615,21539,34300,36621,44988,3156,46536,4.878%,.34557,1.18,0.11
Exchange Pop-up,238,6204,6224,6606,6737,7072,4532,7737,0.000%,.35826,1.28,0.09
Remove Exchange,228,4293,4243,4536,4621,6839,3546,7495,0.000%,.34776,0.27,0.12
Deactivate Exchange,223,4323,4248,4582,4676,7033,3588,10110,0.000%,.34302,0.27,0.12
Notify Me (if product is out of stock),220,3407,3342,3567,3682,6219,3000,9051,0.000%,.34413,0.26,0.16
Place Order,220,24450,24109,43002,44034,45681,3498,102324,0.000%,.33568,103.65,0.11
TOTAL,5157,16181,13445,38960,43866,83577,12,103303,0.233%,5.54594,123.44,2.16
