Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,779,779,779,779,779,779,779,0.000%,1.28370,0.99,0.33
Send OTP ,1,1287,1287,1287,1287,1287,1287,1287,0.000%,.77700,0.58,0.26
OpenLogin,1,18587,18587,18587,18587,18587,18587,18587,0.000%,.05380,0.79,0.02
Product Listing Page (PLP),1,17,17,17,17,17,17,17,0.000%,58.82353,1966.16,32.46
Get Product List for Compare,1,1409,1409,1409,1409,1409,1409,1409,0.000%,.70972,0.57,0.25
To Add Product To Compare,1,3692,3692,3692,3692,3692,3692,3692,0.000%,.27086,0.21,0.11
Get Compare List after adding Product,1,3039,3039,3039,3039,3039,3039,3039,0.000%,.32906,0.39,0.12
To Remove Product from Compare List ,1,3361,3361,3361,3361,3361,3361,3361,0.000%,.29753,0.23,0.11
Product Description Page (PDP),1,4765,4765,4765,4765,4765,4765,4765,0.000%,.20986,3.16,0.06
Get Product details with seller,1,5027,5027,5027,5027,5027,5027,5027,0.000%,.19893,2.78,0.06
Add Product to WishList,1,6612,6612,6612,6612,6612,6612,6612,0.000%,.15124,0.11,0.05
Add To Cart,1,19671,19671,19671,19671,19671,19671,19671,0.000%,.05084,0.05,0.04
Buy Now ,1,18145,18145,18145,18145,18145,18145,18145,0.000%,.05511,0.06,0.03
Instabuy pop-up,1,3996,3996,3996,3996,3996,3996,3996,0.000%,.25025,1.27,0.08
Exchange Pop-up,1,1521,1521,1521,1521,1521,1521,1521,0.000%,.65746,2.35,0.16
Remove Exchange,1,1134,1134,1134,1134,1134,1134,1134,0.000%,.88183,0.68,0.32
Deactivate Exchange,1,894,894,894,894,894,894,894,0.000%,1.11857,0.87,0.40
Notify Me (if product is out of stock) ,1,693,693,693,693,693,693,693,0.000%,1.44300,1.11,0.66
Place Order,1,20688,20688,20688,20688,20688,20688,20688,0.000%,.04834,0.06,0.02
TOTAL,19,6069,3361,18587,19671,20688,17,20688,0.000%,.16475,0.84,0.06
