Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,106,264,263,351,365,452,106,737,0.000%,.34846,0.27,0.09
OpenLogin ,106,1500,1062,1754,5852,6260,776,6735,0.000%,.34740,0.57,0.12
TriggerOTP ,105,1171,1114,1615,1695,1728,569,1962,0.000%,.34532,1.60,0.18
Product Listing Page (PLP),104,35,32,43,55,86,26,124,0.000%,.34735,9.49,0.19
Get Product List for Compare,104,292,276,421,444,665,140,723,0.000%,.34708,0.28,0.10
To Add Product To Compare,104,1283,1161,1979,2309,2524,560,2576,0.000%,.34619,0.28,0.13
Get Compare List after adding Product,104,1271,1100,1917,2298,3039,476,3089,0.000%,.34668,0.44,0.11
To Remove Product from Compare List ,104,1270,1217,1859,2084,2274,473,2551,0.000%,.34588,0.27,0.12
Product Description Page (PDP),104,701,552,1277,1367,1686,232,2510,0.000%,.34684,2.10,0.09
Get Product details with seller,103,666,542,1126,1329,1499,300,1605,0.000%,.34583,1.20,0.10
Add Product to WishList,103,1909,1807,2695,2865,3681,622,3746,0.000%,.34458,0.24,0.10
Notify Me (if product is out of stock),102,299,298,401,475,609,98,745,0.000%,.34651,0.26,0.15
Add To Cart,102,321,318,429,446,471,126,524,0.000%,.34659,0.33,0.19
Buy Now ,102,314,325,408,437,667,120,731,0.000%,.34651,0.33,0.19
Instabuy pop-up,102,410,335,866,1078,1275,125,1454,0.000%,.34653,0.22,0.10
Exchange Pop-up,102,930,755,1626,1894,2186,184,2261,0.000%,.34617,1.24,0.09
Remove Exchange,101,361,367,471,492,546,136,706,0.000%,.34637,0.27,0.13
Deactivate Exchange,101,381,351,556,600,867,173,890,0.000%,.34646,0.27,0.13
Place Order,101,399,305,852,1011,1247,130,1284,0.000%,.34649,0.28,0.12
TOTAL,1960,728,454,1572,1878,2700,26,6735,0.000%,6.41126,19.50,2.37
