Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,130,130,130,130,130,130,130,0.000%,7.69231,5.96,1.98
OpenLogin ,1,778,778,778,778,778,778,778,0.000%,1.28535,2.14,0.45
TriggerOTP ,1,382,382,382,382,382,382,382,0.000%,2.61780,10.03,1.39
Product Listing Page (PLP),1,29,29,29,29,29,29,29,0.000%,34.48276,942.15,18.49
Get Product List for Compare,1,171,171,171,171,171,171,171,0.000%,5.84795,4.67,1.75
To Add Product To Compare ,1,345,345,345,345,345,345,345,0.000%,2.89855,2.28,1.08
Get Compare List after adding Product,1,357,357,357,357,357,357,357,0.000%,2.80112,3.08,0.86
To Remove Product from Compare List,1,397,397,397,397,397,397,397,0.000%,2.51889,1.99,0.89
Product Description Page (PDP),1,311,311,311,311,311,311,311,0.000%,3.21543,22.49,0.87
Get Product details with seller,1,199,199,199,199,199,199,199,0.000%,5.02513,20.31,1.42
Add Product to WishList,1,701,701,701,701,701,701,701,0.000%,1.42653,1.00,0.41
Add To Cart,1,118,118,118,118,118,118,118,0.000%,8.47458,8.03,6.83
Buy Now ,1,174,174,174,174,174,174,174,0.000%,5.74713,5.44,4.61
Instabuy pop-up,1,111,111,111,111,111,111,111,0.000%,9.00901,5.76,2.60
Exchange Pop-up,1,723,723,723,723,723,723,723,0.000%,1.38313,4.95,0.34
Remove Exchange,1,207,207,207,207,207,207,207,0.000%,4.83092,3.74,1.76
Deactivate Exchange,1,133,133,133,133,133,133,133,0.000%,7.51880,5.85,2.75
Notify Me (if product is out of stock),1,118,118,118,118,118,118,118,0.000%,8.47458,6.51,3.74
Place Order,1,157,157,157,157,157,157,157,0.000%,6.36943,5.16,2.26
TOTAL,19,291,199,701,723,778,29,778,0.000%,2.94391,8.99,1.17
