Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,7,166,167,178,183,183,152,183,0.000%,.06652,0.05,0.02
Send OTP ,7,441,443,450,453,453,426,453,0.000%,.06638,0.05,0.02
OpenLogin,7,2305,2422,3336,3367,3367,975,3367,0.000%,.06459,0.41,0.03
Product Listing Page (PLP),7,19,17,21,32,32,14,32,0.000%,.06605,1.75,0.04
Get Product List for Compare,7,163,162,165,173,173,159,173,0.000%,.06597,0.05,0.02
To Add Product To Compare,7,493,491,500,506,506,486,506,0.000%,.06576,0.05,0.03
Get Compare List after adding Product,7,531,525,554,562,562,496,562,0.000%,.06574,0.08,0.02
To Remove Product from Compare List ,7,164,165,168,168,168,161,168,0.000%,.06597,0.05,0.02
Product Description Page (PDP),7,761,742,794,853,853,701,853,0.000%,.06561,1.06,0.02
Get Product details with seller,7,746,742,780,801,801,706,801,0.000%,.06561,0.38,0.02
Add Product to WishList,7,2375,2480,2768,3103,3103,1069,3103,0.000%,.06459,0.05,0.02
Add To Cart,7,2771,2890,3836,4420,4420,876,4420,0.000%,.06345,0.06,0.05
Buy Now ,7,3802,3393,4240,10496,10496,819,10496,0.000%,.06322,0.06,0.04
Instabuy pop-up,7,924,1378,1555,1600,1600,157,1600,0.000%,.06443,0.18,0.02
Exchange Pop-up,7,242,242,243,253,253,232,253,0.000%,.06523,0.23,0.02
Remove Exchange,7,175,172,185,186,186,169,186,0.000%,.06529,0.05,0.02
Deactivate Exchange,7,177,175,181,192,192,171,192,0.000%,.06529,0.05,0.02
Notify Me (if product is out of stock) ,7,139,139,142,150,150,134,150,0.000%,.06531,0.05,0.03
Place Order,7,2031,1915,4132,4543,4543,484,4543,0.000%,.06297,0.07,0.02
TOTAL,133,970,484,2890,3393,4543,14,10496,0.000%,1.02831,3.91,0.40
