Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,84,78,61,132,198,268,40,387,0.000%,.28139,0.28,0.07
OpenLogin ,84,2157,1467,3134,6220,12431,930,12625,0.000%,.28052,0.49,0.15
TriggerOTP,84,1630,1036,3397,3475,4069,678,4661,0.000%,.28176,1.19,0.20
Product Listing Page (PLP),84,21,19,29,35,50,16,55,0.000%,.28359,7.90,0.14
Get Product List for Compare,84,199,188,241,267,345,144,354,0.000%,.28345,0.23,0.09
To Add Product To Compare,84,610,584,735,765,985,483,1013,0.000%,.28312,0.23,0.11
Get Compare List after adding Product,84,566,536,697,800,920,416,1161,0.000%,.28350,0.34,0.09
To Remove Product from Compare List ,84,614,581,726,886,959,414,1001,0.000%,.28371,0.23,0.10
Get Compare List after removing Product,84,234,195,323,518,622,147,727,0.000%,.28452,0.24,0.09
Product Description Page (PDP),84,352,327,477,554,654,227,767,0.000%,.28448,4.32,0.08
Get Product details with seller,84,343,314,481,502,563,229,709,0.000%,.28467,1.21,0.08
Add Product to WishList,84,1660,1598,2112,2391,2694,885,2885,0.000%,.28417,0.20,0.08
Notify Me (if product is out of stock),83,191,179,276,288,322,127,356,0.000%,.28553,0.22,0.13
Add To Cart,83,3007,2553,4851,9684,13032,176,14925,0.000%,.27998,0.28,0.16
Buy Now ,81,2958,2344,5613,7790,12913,187,14714,0.000%,.28010,0.28,0.16
Instabuy pop-up,80,768,469,1564,1653,1798,160,3693,0.000%,.28158,0.49,0.09
Exchange Pop-up,79,368,326,480,550,814,265,1257,0.000%,.29002,1.05,0.07
Remove Exchange,79,223,216,273,305,349,154,357,0.000%,.29052,0.23,0.11
Deactivate Exchange,79,259,247,310,349,473,182,805,0.000%,.29063,0.23,0.11
Place Order,79,1262,627,3069,3657,10606,183,12133,0.000%,.28684,0.29,0.11
TOTAL,1651,875,439,2091,3084,7099,16,14925,0.000%,5.34524,18.96,2.10
