Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,468,78,57,145,181,220,35,729,0.000%,.52008,0.51,0.13
OpenLogin ,468,11194,11296,13296,20715,23890,1591,25404,0.214%,.51257,0.94,0.27
TriggerOTP,454,18559,21142,23463,23914,24640,898,26109,11.894%,.49819,1.91,0.35
Product Listing Page (PLP),445,23,20,30,38,74,15,149,0.000%,.49616,13.82,0.25
Get Product List for Compare,445,8728,9287,10725,11017,11938,808,12910,0.000%,.49033,0.40,0.15
To Add Product To Compare,441,10991,11590,12857,13160,14012,2680,14793,7.710%,.48594,0.41,0.19
Get Compare List after adding Product,429,10851,11331,12795,13001,13419,2980,13806,0.000%,.47587,0.63,0.15
To Remove Product from Compare List ,428,11267,11668,13102,13487,13777,3258,14764,68.458%,.47719,0.40,0.17
Get Compare List after removing Product,422,9254,9514,10989,11566,12054,1808,12456,0.000%,.47190,0.39,0.15
Product Description Page (PDP),418,9410,9787,11009,11417,12241,2031,12459,0.000%,.46710,7.12,0.13
Get Product details with seller,414,9569,9776,11184,11611,12295,2092,12962,0.000%,.46415,1.98,0.14
Add Product to WishList,410,12919,13572,15355,15758,16490,1393,16677,12.683%,.46321,0.33,0.14
Notify Me (if product is out of stock),408,9268,9440,10699,11013,11649,1497,12572,0.000%,.46079,0.36,0.21
Add To Cart,405,18672,20413,26884,32023,37553,5493,39789,2.222%,.45562,0.45,0.26
Buy Now ,400,18512,21176,26053,32102,37712,5962,38893,0.250%,.45209,0.45,0.26
Instabuy pop-up,388,11085,10748,13773,14651,15596,5610,16017,5.412%,.44679,0.70,0.14
Exchange Pop-up,385,10464,10447,11547,11990,12763,6170,13505,0.000%,.44483,1.61,0.11
Remove Exchange,381,9836,9836,10917,11191,11674,7131,12787,0.000%,.44523,0.35,0.16
Deactivate Exchange,378,9879,9943,11155,11451,12105,6787,13039,0.000%,.44477,0.35,0.17
Place Order,369,11752,11608,13376,14732,18164,7060,37507,0.271%,.44164,0.89,0.17
TOTAL,8356,10521,10435,16017,23109,26419,15,39789,5.577%,9.12968,33.16,3.59
