Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,30,866,983,1156,1169,1280,402,1280,0.000%,.09834,0.08,0.03
Send OTP ,30,1537,1526,1928,1930,2284,867,2284,0.000%,.09785,0.07,0.03
OpenLogin ,30,7472,5496,20444,20454,21768,2851,21768,0.000%,.09391,8.95,0.04
Product Listing Page (PLP),28,12,13,16,17,17,9,17,0.000%,.10062,3.32,0.06
Get Product List for Compare,28,1172,1127,1325,1462,1683,871,1683,0.000%,.10010,0.08,0.03
To Add Product To Compare,28,4507,4399,5056,5663,6473,3726,6473,0.000%,.09841,0.08,0.04
Get Compare List after adding Product,28,4736,4808,5681,5764,6131,3452,6131,0.000%,.09792,0.14,0.03
To Remove Product from Compare List ,28,4408,4317,5151,5502,5524,3718,5524,0.000%,.09769,0.08,0.03
Product Description Page (PDP),28,6812,6525,8133,8552,9450,5415,9450,0.000%,.09666,9.21,0.03
Get Product details with seller,27,6865,6525,8799,9113,9250,5066,9250,0.000%,.11196,2.25,0.03
Add Product to WishList,27,8434,8014,10974,11760,12553,4972,12553,0.000%,.10952,0.08,0.03
Add To Cart,27,15642,14172,19783,31694,36263,9147,36263,0.000%,.09959,0.11,0.08
Buy Now ,26,15667,15643,22491,28715,29861,8059,29861,0.000%,.10148,0.11,0.06
Instabuy pop-up,21,6844,6711,9341,9699,9746,3849,9746,0.000%,.08732,0.42,0.03
Exchange Pop-up,20,2092,1866,3009,3026,3195,1210,3195,0.000%,.09432,0.34,0.02
Remove Exchange,20,1433,1301,2075,2083,2261,772,2261,0.000%,.09420,0.07,0.03
Deactivate Exchange,20,1389,1380,1906,2005,2060,838,2060,0.000%,.09385,0.07,0.03
Notify Me (if product is out of stock),20,1114,1134,1437,1443,1543,736,1543,0.000%,.09361,0.07,0.04
Place Order,20,12403,9589,33565,34620,41497,1322,41497,0.000%,.09336,0.11,0.03
TOTAL,486,5468,4296,11258,17027,29861,9,41497,0.000%,1.50606,23.13,0.58
