Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,384,294,271,462,522,644,98,735,0.00%,0.63099,0.49,0.16
OpenLogin ,384,1588,1433,2052,2578,5752,928,8429,0.00%,0.62931,1.04,0.22
TriggerOTP ,380,1464,1385,2551,2776,3003,383,3591,0.00%,0.62706,2.47,0.33
Product Listing Page (PLP),379,23,21,26,30,47,19,274,0.00%,0.62933,18.18,0.34
Get Product List for Compare,379,426,418,633,727,887,103,1772,0.00%,0.62876,0.5,0.19
To Add Product To Compare,376,1433,1457,2109,2339,2696,330,3297,0.00%,0.62438,0.53,0.23
Get Compare List after adding Product,371,1571,1599,2354,2493,2836,122,3005,0.00%,0.61873,0.9,0.19
To Remove Product from Compare List ,370,1572,1610,2256,2326,2654,351,2691,0.00%,0.61885,0.5,0.22
Product Description Page (PDP),369,2565,2714,3347,3601,3805,640,3924,0.00%,0.62018,16.27,0.17
Get Product details with seller,367,2565,2724,3383,3599,3824,513,4286,0.00%,0.62036,2.98,0.18
Add Product to WishList,366,2899,3031,3871,4149,4443,612,4888,0.00%,0.62348,0.44,0.18
Notify Me (if product is out of stock),365,384,363,607,677,747,95,1959,0.00%,0.6326,0.49,0.28
Add To Cart,365,739,438,1655,2725,7962,101,12872,0.00%,0.63315,0.6,0.36
Buy Now ,365,715,422,1659,2411,7454,100,12505,0.00%,0.63336,0.6,0.35
Instabuy pop-up,361,519,370,921,1293,3555,100,5610,0.00%,0.63208,0.44,0.18
Exchange Pop-up,361,543,498,913,1044,1263,150,1335,0.00%,0.63228,2.26,0.16
Remove Exchange,360,386,352,658,722,804,113,927,0.00%,0.63211,0.49,0.23
Deactivate Exchange,358,400,385,647,738,826,114,1003,0.00%,0.63103,0.49,0.23
Place Order,357,718,375,1310,1603,11618,96,18454,0.00%,0.6297,0.51,0.22
TOTAL,7017,1096,619,2690,3175,3871,19,18454,0.00%,11.46777,48.87,4.26
