Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,138,138,138,138,138,138,138,0.000%,7.24638,5.61,1.86
OpenLogin ,1,4457,4457,4457,4457,4457,4457,4457,0.000%,.22437,0.39,0.08
TriggerOTP ,1,409,409,409,409,409,409,409,0.000%,2.44499,34.78,1.30
Product Listing Page (PLP),1,24,24,24,24,24,24,24,0.000%,41.66667,1197.39,22.99
Get Product List for Compare,1,100,100,100,100,100,100,100,0.000%,10.00000,7.98,2.99
To Add Product To Compare,1,285,285,285,285,285,285,285,0.000%,3.50877,2.75,1.34
Get Compare List after adding Product,1,277,277,277,277,277,277,277,0.000%,3.61011,3.96,1.11
To Remove Product from Compare List ,1,287,287,287,287,287,287,287,0.000%,3.48432,2.75,1.26
Product Description Page (PDP),1,516,516,516,516,516,516,516,0.000%,1.93798,81.01,0.54
Get Product details with seller,1,495,495,495,495,495,495,495,0.000%,2.02020,9.30,0.59
Add Product to WishList,1,576,576,576,576,576,576,576,0.000%,1.73611,1.21,0.50
Add To Cart,1,5251,5251,5251,5251,5251,5251,5251,0.000%,.19044,0.20,0.16
Buy Now ,1,5215,5215,5215,5215,5215,5215,5215,0.000%,.19175,0.20,0.11
Instabuy pop-up,1,2874,2874,2874,2874,2874,2874,2874,0.000%,.34795,1.80,0.11
Exchange Pop-up,1,151,151,151,151,151,151,151,0.000%,6.62252,23.68,1.64
Remove Exchange,1,118,118,118,118,118,118,118,0.000%,8.47458,6.55,3.04
Deactivate Exchange,1,122,122,122,122,122,122,122,0.000%,8.19672,6.37,2.95
Notify Me (if product is out of stock),1,95,95,95,95,95,95,95,0.000%,10.52632,8.08,4.90
Place Order,1,6041,6041,6041,6041,6041,6041,6041,0.000%,.16554,0.19,0.06
TOTAL,19,1443,287,5215,5251,6041,24,6041,0.000%,.69257,4.02,0.27
