Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,174,1806,1795,2368,2538,3069,326,3530,0.000%,.28410,0.22,0.07
OpenLogin ,172,5480,5354,6179,8290,10549,1357,10859,0.000%,.28045,0.48,0.10
TriggerOTP ,171,8533,7516,11959,12110,12993,2283,14763,0.000%,.27909,1.00,0.15
Product Listing Page (PLP),166,18,17,22,24,46,14,91,0.000%,.27476,9.01,0.15
Get Product List for Compare,166,2345,2280,2749,2815,3106,1244,3202,0.000%,.27362,0.22,0.08
To Add Product To Compare,165,7454,7505,7837,7943,8158,5530,8509,0.000%,.27137,0.22,0.10
Get Compare List after adding Product,163,7333,7389,8300,8440,8579,2305,9343,0.000%,.27095,0.33,0.08
To Remove Product from Compare List ,160,7468,7506,7848,7926,8614,6209,8865,0.000%,.26943,0.21,0.10
Product Description Page (PDP),158,3167,3107,3448,3643,3968,2688,4386,0.000%,.27007,2.92,0.07
Get Product details with seller,157,3194,3130,3600,3770,4120,2730,4232,0.000%,.27277,1.08,0.08
Add Product to WishList,157,11548,11552,12138,12275,12650,7676,12817,0.000%,.27055,0.19,0.08
Notify Me (if product is out of stock),155,2271,2172,2733,2762,3360,1880,3563,0.000%,.27520,0.21,0.13
Add To Cart,155,12461,14341,17683,18498,22028,2403,22551,0.000%,.27351,0.27,0.16
Buy Now ,152,13160,15742,18076,21086,22272,2540,22693,0.000%,.27425,0.27,0.16
Instabuy pop-up,152,7727,8364,11165,11567,12560,2049,12795,3.289%,.27130,0.47,0.08
Exchange Pop-up,149,3771,3694,4232,4409,4929,2615,5033,0.000%,.26938,0.96,0.07
Remove Exchange,149,2779,2741,3144,3260,3642,2208,4137,0.000%,.26984,0.21,0.10
Deactivate Exchange,147,2760,2697,3130,3334,3751,2197,3855,0.000%,.26791,0.21,0.10
Place Order,146,11881,7528,38513,39998,40785,2145,40972,0.000%,.26569,23.88,0.09
TOTAL,3014,6011,4867,11938,15636,21086,14,40972,0.166%,4.89510,39.12,1.83
