Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,134,134,134,134,134,134,134,0.000%,7.46269,5.78,1.92
Send OTP ,1,386,386,386,386,386,386,386,0.000%,2.59067,1.92,0.87
OpenLogin,1,3519,3519,3519,3519,3519,3519,3519,0.000%,.28417,4.08,0.13
Product Listing Page (PLP),1,24,24,24,24,24,24,24,0.000%,41.66667,1215.86,22.99
Get Product List for Compare,1,108,108,108,108,108,108,108,0.000%,9.25926,7.39,2.77
To Add Product To Compare,1,341,341,341,341,341,341,341,0.000%,2.93255,2.30,1.11
Get Compare List after adding Product,1,295,295,295,295,295,295,295,0.000%,3.38983,3.70,1.05
To Remove Product from Compare List ,1,313,313,313,313,313,313,313,0.000%,3.19489,2.52,1.15
Product Description Page (PDP),1,615,615,615,615,615,615,615,0.000%,1.62602,124.49,0.45
Get Product details with seller,1,549,549,549,549,549,549,549,0.000%,1.82149,24.86,0.53
Add Product to WishList,1,684,684,684,684,684,684,684,0.000%,1.46199,1.02,0.46
Add To Cart,1,4439,4439,4439,4439,4439,4439,4439,0.000%,.22528,0.24,0.19
Buy Now ,1,4764,4764,4764,4764,4764,4764,4764,0.000%,.20991,0.23,0.12
Instabuy pop-up,1,985,985,985,985,985,985,985,0.000%,1.01523,5.03,0.31
Exchange Pop-up,1,174,174,174,174,174,174,174,0.000%,5.74713,20.55,1.42
Remove Exchange,1,140,140,140,140,140,140,140,0.000%,7.14286,5.52,2.56
Deactivate Exchange,1,144,144,144,144,144,144,144,0.000%,6.94444,5.40,2.50
Notify Me (if product is out of stock) ,1,111,111,111,111,111,111,111,0.000%,9.00901,6.92,4.14
Place Order,1,5622,5622,5622,5622,5622,5622,5622,0.000%,.17787,0.21,0.07
TOTAL,19,1228,341,4439,4764,5622,24,5622,0.000%,.81283,6.57,0.31
