Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,160,160,160,160,160,160,160,0.000%,6.25000,4.83,1.61
OpenLogin ,1,942,942,942,942,942,942,942,0.000%,1.06157,1.82,0.37
TriggerOTP ,1,378,378,378,378,378,378,378,0.000%,2.64550,9.58,1.40
Product Listing Page (PLP),1,30,30,30,30,30,30,30,0.000%,33.33333,1092.97,18.39
Get Product List for Compare,1,117,117,117,117,117,117,117,0.000%,8.54701,6.82,2.55
To Add Product To Compare ,1,329,329,329,329,329,329,329,0.000%,3.03951,2.39,1.12
Get Compare List after adding Product,1,297,297,297,297,297,297,297,0.000%,3.36700,3.68,1.04
To Remove Product from Compare List,1,322,322,322,322,322,322,322,0.000%,3.10559,2.45,1.08
Product Description Page (PDP),1,481,481,481,481,481,481,481,0.000%,2.07900,20.75,0.55
Get Product details with seller,1,353,353,353,353,353,353,353,0.000%,2.83286,12.46,0.78
Add Product to WishList,1,754,754,754,754,754,754,754,0.000%,1.32626,0.92,0.38
Add To Cart,1,3424,3424,3424,3424,3424,3424,3424,0.000%,.29206,0.31,0.24
Buy Now ,1,3071,3071,3071,3071,3071,3071,3071,0.000%,.32563,0.34,0.26
Instabuy pop-up,1,117,117,117,117,117,117,117,0.000%,8.54701,5.46,2.60
Exchange Pop-up,1,250,250,250,250,250,250,250,0.000%,4.00000,14.30,0.99
Remove Exchange,1,117,117,117,117,117,117,117,0.000%,8.54701,6.61,3.12
Deactivate Exchange,1,123,123,123,123,123,123,123,0.000%,8.13008,6.32,2.98
Notify Me (if product is out of stock),1,95,95,95,95,95,95,95,0.000%,10.52632,8.08,4.75
Place Order,1,304,304,304,304,304,304,304,0.000%,3.28947,2.60,1.22
TOTAL,19,613,304,942,3071,3424,30,3424,0.000%,1.50710,5.30,0.60
