Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,178,178,178,178,178,178,178,0.000%,5.61798,5.51,1.45
OpenLogin ,1,812,812,812,812,812,812,812,0.000%,1.23153,2.17,0.65
TriggerOTP,1,529,529,529,529,529,529,529,0.000%,1.89036,7.30,1.34
Product Listing Page (PLP),1,152,152,152,152,152,152,152,0.000%,6.57895,181.19,3.56
Get Product List for Compare,1,150,150,150,150,150,150,150,0.000%,6.66667,5.42,2.02
To Add Product To Compare ,3,413,415,416,416,416,410,416,0.000%,1.33809,1.26,0.51
Get Compare List after adding Product,3,479,533,537,537,537,368,537,0.000%,1.26636,1.99,0.40
To Remove Product from Compare List,3,495,469,615,615,615,402,615,0.000%,1.92926,1.67,0.70
Product Description Page (PDP),1,218,218,218,218,218,218,218,0.000%,4.58716,23.80,1.27
Get Product details with seller,1,218,218,218,218,218,218,218,0.000%,4.58716,21.40,1.33
Add Product to WishList,1,904,904,904,904,904,904,904,0.000%,1.10619,0.79,0.32
Add To Cart,1,247,247,247,247,247,247,247,0.000%,4.04858,3.89,2.28
Buy Now ,1,147,147,147,147,147,147,147,0.000%,6.80272,6.54,3.82
Instabuy pop-up,1,145,145,145,145,145,145,145,0.000%,6.89655,4.51,2.02
Exchange Pop-up,1,288,288,288,288,288,288,288,0.000%,3.47222,12.58,0.87
Remove Exchange,1,198,198,198,198,198,198,198,0.000%,5.05051,3.98,1.87
Deactivate Exchange,1,178,178,178,178,178,178,178,0.000%,5.61798,4.45,2.08
Notify Me (if product is out of stock),1,135,135,135,135,135,135,135,0.000%,7.40741,5.79,3.32
Place Order,1,142,142,142,142,142,142,142,0.000%,7.04225,5.84,2.54
TOTAL,25,352,288,537,812,904,135,904,0.000%,2.72866,7.10,1.05
