Login Ui Page,512,802,808,955,1028,1440,186,1900,0.000%,.39648,0.31,0.10
Send OTP ,509,1429,1341,1541,1686,3842,491,15991,0.000%,.39533,0.29,0.13
OpenLogin ,509,14903,5770,53785,56751,61357,2437,71740,0.000%,.39078,22.60,0.18
Product Listing Page (PLP),504,21,15,32,41,116,10,239,0.000%,.39334,13.15,0.22
Get Product List for Compare,504,1004,1021,1200,1247,1492,158,9019,0.000%,.39297,0.31,0.12
To Add Product To Compare,503,3818,3736,4308,4618,6247,491,29470,0.000%,.39218,0.32,0.15
Get Compare List after adding Product,502,3740,3637,4347,4593,5063,559,36128,0.000%,.39246,0.52,0.12
To Remove Product from Compare List ,499,3740,3619,4264,4458,5301,652,41594,0.000%,.39120,0.31,0.14
Product Description Page (PDP),498,5644,5529,6328,6497,7162,803,42321,0.000%,.39034,24.44,0.11
Get Product details with seller,497,5266,5380,6081,6308,6657,904,42172,0.000%,.38989,4.36,0.11
Add Product to WishList,492,7763,7104,10922,12059,14761,1029,39047,0.407%,.38639,0.27,0.12
Add To Cart,487,21530,13806,60589,64029,66281,609,96838,1.643%,.38067,0.40,0.31
Buy Now ,481,21077,12903,60051,63505,69300,565,97396,0.832%,.37783,0.40,0.22
Instabuy pop-up,471,5691,5543,7203,7917,9265,665,47218,2.972%,.37531,1.60,0.11
Exchange Pop-up,470,1906,1778,2043,2150,6187,463,17342,0.000%,.37636,1.35,0.09
Remove Exchange,469,1203,1199,1404,1457,1633,634,2949,0.000%,.37655,0.29,0.14
Deactivate Exchange,469,1284,1235,1573,1947,2236,606,2795,0.000%,.37655,0.29,0.14
Notify Me (if product is out of stock),468,939,934,1090,1166,1638,353,3891,0.000%,.37712,0.29,0.17
Place Order,464,7084,3812,11620,30119,86494,428,90091,1.078%,.37428,30.82,0.13
TOTAL,9308,5720,3369,11722,17477,61593,10,97396,0.355%,7.12617,99.53,2.73
