Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,146,146,146,146,146,146,146,0.000%,6.84932,5.28,1.76
Send OTP ,1,656,656,656,656,656,656,656,0.000%,1.52439,1.13,0.51
OpenLogin7506871557,1,5622,5622,5622,5622,5622,5622,5622,0.000%,.17787,2.60,0.08
Product Listing Page (PLP),1,21,21,21,21,21,21,21,0.000%,47.61905,1591.89,26.27
Get Product List for Compare,1,231,231,231,231,231,231,231,0.000%,4.32900,3.45,1.29
To Add Product To Compare,1,666,666,666,666,666,666,666,0.000%,1.50150,1.18,0.57
Get Compare List after adding Product,1,426,426,426,426,426,426,426,0.000%,2.34742,2.56,0.72
To Remove Product from Compare List ,1,519,519,519,519,519,519,519,0.000%,1.92678,1.52,0.69
Product Description Page (PDP),1,3015,3015,3015,3015,3015,3015,3015,0.000%,.33167,5.00,0.09
Get Product details with seller,1,746,746,746,746,746,746,746,0.000%,1.34048,18.76,0.39
Add Product to WishList,1,20236,20236,20236,20236,20236,20236,20236,0.000%,.04942,0.03,0.02
Add To Cart,1,17756,17756,17756,17756,17756,17756,17756,0.000%,.05632,0.06,0.05
Buy Now ,1,8179,8179,8179,8179,8179,8179,8179,0.000%,.12226,0.13,0.07
Instabuy pop-up,1,2801,2801,2801,2801,2801,2801,2801,0.000%,.35702,1.78,0.11
Exchange Pop-up,1,7994,7994,7994,7994,7994,7994,7994,0.000%,.12509,0.45,0.03
Remove Exchange,1,225,225,225,225,225,225,225,0.000%,4.44444,3.44,1.59
Deactivate Exchange,1,2442,2442,2442,2442,2442,2442,2442,0.000%,.40950,0.32,0.15
Notify Me (if product is out of stock) ,1,261,261,261,261,261,261,261,0.000%,3.83142,2.94,1.76
Place Order,1,9393,9393,9393,9393,9393,9393,9393,0.000%,.10646,0.13,0.04
TOTAL,19,4280,746,9393,17756,20236,21,20236,0.000%,.23354,1.19,0.09
