Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec,,,,
Login Ui Page,1,175,175,175,175,175,175,175,0.00%,5.71429,4.43,1.47,,175,1000,0.175
Send OTP ,1,446,446,446,446,446,446,446,0.00%,2.24215,1.66,0.76,,446,,0.446
OpenLogin,1,2825,2825,2825,2825,2825,2825,2825,0.00%,0.35398,5.17,0.16,,2825,,2.825
Product Listing Page (PLP),1,27,27,27,27,27,27,27,0.00%,37.03704,1237.96,20.44,,27,,0.027
Get Product List for Compare,1,143,143,143,143,143,143,143,0.00%,6.99301,5.58,2.09,,143,,0.143
To Add Product To Compare,1,451,451,451,451,451,451,451,0.00%,2.21729,1.74,0.84,,451,,0.451
Get Compare List after adding Product,1,421,421,421,421,421,421,421,0.00%,2.3753,2.59,0.73,,421,,0.421
To Remove Product from Compare List ,1,451,451,451,451,451,451,451,0.00%,2.21729,1.75,0.79,,451,,0.451
Product Description Page (PDP),1,765,765,765,765,765,765,765,0.00%,1.30719,19.69,0.36,,765,,0.765
Get Product details with seller,1,726,726,726,726,726,726,726,0.00%,1.37741,19.27,0.4,,726,,0.726
Add Product to WishList,1,949,949,949,949,949,949,949,0.00%,1.05374,0.74,0.33,,949,,0.949
Add To Cart,1,4030,4030,4030,4030,4030,4030,4030,0.00%,0.24814,0.27,0.21,,4030,,4.03
Buy Now ,1,3952,3952,3952,3952,3952,3952,3952,0.00%,0.25304,0.27,0.15,,3952,,3.952
Instabuy pop-up,1,1170,1170,1170,1170,1170,1170,1170,0.00%,0.8547,4.29,0.26,,1170,,1.17
Exchange Pop-up,1,227,227,227,227,227,227,227,0.00%,4.40529,15.75,1.09,,227,,0.227
Remove Exchange,1,167,167,167,167,167,167,167,0.00%,5.98802,4.63,2.15,,167,,0.167
Deactivate Exchange,1,159,159,159,159,159,159,159,0.00%,6.28931,4.89,2.26,,159,,0.159
Notify Me (if product is out of stock) ,1,132,132,132,132,132,132,132,0.00%,7.57576,5.81,3.48,,132,,0.132
Place Order,1,4487,4487,4487,4487,4487,4487,4487,0.00%,0.22287,0.26,0.08,,4487,,4.487
TOTAL,19,1142,451,3952,4030,4487,27,4487,0.00%,0.8734,4.46,0.34,,1142,,1.142
