Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,153,153,153,153,153,153,153,0.000%,6.53595,5.06,1.68
OpenLogin ,1,986,986,986,986,986,986,986,0.000%,1.01420,1.74,0.35
TriggerOTP ,1,369,369,369,369,369,369,369,0.000%,2.71003,9.94,1.44
Product Listing Page (PLP),1,27,27,27,27,27,27,27,0.000%,37.03704,1214.41,20.58
Get Product List for Compare,1,117,117,117,117,117,117,117,0.000%,8.54701,6.82,2.55
To Add Product To Compare ,1,318,318,318,318,318,318,318,0.000%,3.14465,2.47,1.16
Get Compare List after adding Product,1,298,298,298,298,298,298,298,0.000%,3.35570,3.67,1.04
To Remove Product from Compare List,1,316,316,316,316,316,316,316,0.000%,3.16456,2.50,1.10
Product Description Page (PDP),1,594,594,594,594,594,594,594,0.000%,1.68350,16.80,0.45
Get Product details with seller,1,319,319,319,319,319,319,319,0.000%,3.13480,13.79,0.86
Add Product to WishList,1,469,469,469,469,469,469,469,0.000%,2.13220,1.49,0.61
Add To Cart,1,2421,2421,2421,2421,2421,2421,2421,0.000%,.41305,0.39,0.34
Buy Now ,1,3490,3490,3490,3490,3490,3490,3490,0.000%,.28653,0.30,0.23
Instabuy pop-up,1,271,271,271,271,271,271,271,0.000%,3.69004,2.36,1.14
Exchange Pop-up,1,175,175,175,175,175,175,175,0.000%,5.71429,20.43,1.41
Remove Exchange,1,118,118,118,118,118,118,118,0.000%,8.47458,6.55,3.10
Deactivate Exchange,1,127,127,127,127,127,127,127,0.000%,7.87402,6.12,2.88
Notify Me (if product is out of stock),1,105,105,105,105,105,105,105,0.000%,9.52381,7.31,4.33
Place Order,1,305,305,305,305,305,305,305,0.000%,3.27869,2.59,1.23
TOTAL,19,577,305,986,2421,3490,27,3490,0.000%,1.59436,5.61,0.64
