Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,137,126,123,152,171,228,88,234,0.000%,.45174,0.35,0.12
OpenLogin ,137,1812,986,4903,5041,7656,840,11140,0.000%,.45055,0.75,0.16
TriggerOTP ,137,445,423,562,635,769,308,846,0.000%,.45158,2.51,0.24
Product Listing Page (PLP),137,19,18,22,23,33,14,192,0.000%,.45211,12.14,0.24
Get Product List for Compare,137,124,122,144,151,174,90,222,0.000%,.45194,0.36,0.14
To Add Product To Compare,137,391,392,454,474,515,280,537,0.000%,.45149,0.37,0.17
Get Compare List after adding Product,135,369,362,446,472,497,258,540,0.000%,.44596,0.52,0.14
To Remove Product from Compare List ,134,382,378,465,488,511,270,519,0.000%,.44374,0.35,0.16
Product Description Page (PDP),134,627,635,717,736,810,461,817,0.000%,.44357,5.87,0.12
Get Product details with seller,133,630,631,715,755,792,455,820,0.000%,.44863,1.71,0.13
Add Product to WishList,133,655,657,783,804,897,462,914,0.000%,.44885,0.31,0.13
Notify Me (if product is out of stock),133,117,116,143,150,171,83,184,0.000%,.44986,0.35,0.20
Add To Cart,133,1247,133,6067,6337,6706,93,6939,0.000%,.44350,0.43,0.25
Buy Now ,132,1243,136,6140,6305,7329,92,8051,0.000%,.44660,0.43,0.25
Instabuy pop-up,132,821,140,3026,3194,5825,94,6905,0.000%,.44638,0.70,0.13
Exchange Pop-up,132,194,195,226,234,321,136,541,0.000%,.44635,1.60,0.11
Remove Exchange,132,140,140,162,169,208,101,216,0.000%,.44651,0.35,0.16
Deactivate Exchange,132,143,139,172,181,213,108,234,0.000%,.44662,0.35,0.16
Place Order,132,945,131,6443,7252,8058,96,9602,0.000%,.44645,2.76,0.16
TOTAL,2549,548,210,836,1437,6443,14,11140,0.000%,8.32944,31.65,3.10
