Login Ui Page,320,419,428,518,550,666,172,872,0.000%,.52525,0.41,0.13
Send OTP ,320,800,807,927,968,1078,463,1375,0.000%,.52479,0.39,0.18
OpenLogin ,319,3066,2761,4539,5575,6181,1077,6256,0.000%,.52361,3.33,0.24
Product Listing Page (PLP),318,16,15,20,22,38,11,244,0.000%,.52675,10.53,0.29
Get Product List for Compare,318,544,553,684,724,811,153,1128,0.000%,.52628,0.42,0.19
To Add Product To Compare,317,1743,1770,2128,2238,2403,897,2524,0.000%,.52419,0.43,0.21
Get Compare List after adding Product,316,1838,1845,2362,2476,2985,569,3154,0.000%,.52422,0.74,0.19
To Remove Product from Compare List ,314,1808,1775,2261,2370,2669,960,2812,0.000%,.52290,0.42,0.19
Product Description Page (PDP),311,2706,2686,3272,3585,4191,1615,4232,0.000%,.51973,17.85,0.14
Get Product details with seller,310,2709,2662,3268,3472,4155,1694,4219,0.000%,.52094,4.59,0.15
Add Product to WishList,309,7884,7278,11058,12097,13680,3905,14916,0.000%,.51931,0.36,0.16
Add To Cart,305,5218,3763,9174,9816,10829,1723,12129,0.000%,.52205,0.52,0.43
Buy Now ,302,4962,3729,8764,9335,10189,1878,11210,0.331%,.51936,0.51,0.30
Instabuy pop-up,297,1686,795,3253,3446,3871,225,4295,2.020%,.51629,1.12,0.16
Exchange Pop-up,296,860,852,1061,1118,1255,398,1399,0.000%,.51813,1.85,0.13
Remove Exchange,295,586,589,727,762,843,256,919,0.000%,.52005,0.40,0.19
Deactivate Exchange,295,594,595,734,768,924,215,1388,0.000%,.52040,0.40,0.19
Notify Me (if product is out of stock),295,465,462,570,605,652,194,747,0.000%,.52057,0.40,0.24
Place Order,293,2355,1850,5190,6768,7756,354,8804,2.048%,.51583,36.22,0.19
TOTAL,5850,2117,1538,5880,7329,10327,11,14916,0.222%,9.50458,76.81,3.73
