Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,218,218,218,218,218,218,218,0.000%,4.58716,3.54,1.18
Send OTP ,1,525,525,525,525,525,525,525,0.000%,1.90476,1.41,0.64
OpenLogin,1,2412,2412,2412,2412,2412,2412,2412,0.000%,.41459,2.62,0.19
Product Listing Page (PLP),1,166,166,166,166,166,166,166,0.000%,6.02410,120.38,3.35
Get Product List for Compare,1,238,238,238,238,238,238,238,0.000%,4.20168,3.35,1.47
To Add Product To Compare,1,751,751,751,751,751,751,751,0.000%,1.33156,1.05,0.53
Get Compare List after adding Product,1,551,551,551,551,551,551,551,0.000%,1.81488,2.14,0.66
To Remove Product from Compare List ,1,482,482,482,482,482,482,482,0.000%,2.07469,1.64,0.75
Product Description Page (PDP),1,786,786,786,786,786,786,786,0.000%,1.27226,11.08,0.35
Get Product details with seller,1,781,781,781,781,781,781,781,0.000%,1.28041,9.77,0.37
Add Product to WishList,1,2592,2592,2592,2592,2592,2592,2592,0.000%,.38580,0.27,0.12
Add To Cart,1,2633,2633,2633,2633,2633,2633,2633,0.000%,.37979,0.40,0.32
Buy Now ,1,2871,2871,2871,2871,2871,2871,2871,0.000%,.34831,0.37,0.20
Instabuy pop-up,1,1091,1091,1091,1091,1091,1091,1091,0.000%,.91659,3.64,0.28
Exchange Pop-up,1,233,233,233,233,233,233,233,0.000%,4.29185,15.34,1.06
Remove Exchange,1,172,172,172,172,172,172,172,0.000%,5.81395,4.50,2.10
Deactivate Exchange,1,167,167,167,167,167,167,167,0.000%,5.98802,4.65,2.16
Notify Me (if product is out of stock) ,1,142,142,142,142,142,142,142,0.000%,7.04225,5.34,3.26
Place Order,1,2441,2441,2441,2441,2441,2441,2441,0.000%,.40967,0.51,0.15
TOTAL,19,1013,551,2592,2633,2871,142,2871,0.000%,.98507,3.20,0.39
