Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,42,203,195,233,247,345,165,345,0.000%,.14203,0.11,0.04
Send OTP ,42,450,446,479,498,598,403,598,0.000%,.14194,0.11,0.05
OpenLogin7506871557,16,5136,3874,4134,4418,24570,3437,24570,0.000%,.06033,0.40,0.03
Product Listing Page (PLP),42,16,16,19,22,23,13,23,0.000%,.14346,5.34,0.08
Get Product List for Compare,42,185,179,212,214,352,157,352,0.000%,.14338,0.12,0.05
To Add Product To Compare,42,543,529,634,641,705,257,705,0.000%,.14318,0.12,0.06
Get Compare List after adding Product,42,666,622,930,1045,1064,485,1064,0.000%,.14302,0.21,0.05
To Remove Product from Compare List ,42,520,522,620,654,678,177,678,0.000%,.14308,0.12,0.06
Product Description Page (PDP),42,840,819,956,990,1071,729,1071,0.000%,.14283,8.37,0.04
Get Product details with seller,42,822,798,943,955,990,702,990,0.000%,.14278,1.05,0.04
Add Product to WishList,42,4112,2876,6281,6513,7248,2539,7248,0.000%,.14189,0.10,0.04
Add To Cart,42,4746,3104,5758,6608,35907,2633,35907,0.000%,.14349,0.16,0.12
Buy Now ,38,4595,3056,5813,5935,24155,2569,24155,0.000%,.13181,0.15,0.08
Instabuy pop-up,37,1266,1220,1700,1722,1806,158,1806,5.405%,.13770,0.82,0.04
Exchange Pop-up,37,262,263,290,296,313,232,313,0.000%,.13850,0.50,0.03
Remove Exchange,37,188,187,209,213,227,169,227,0.000%,.13853,0.11,0.05
Deactivate Exchange,37,190,188,205,210,231,171,231,0.000%,.13852,0.11,0.05
Notify Me (if product is out of stock) ,37,176,174,196,207,212,157,212,0.000%,.13854,0.11,0.06
Place Order,37,15981,1669,91712,107609,120977,150,120977,62.162%,.13854,30.13,0.05
OpenLogin8294585494,16,1323,1279,1560,1622,1650,1169,1650,0.000%,.10850,0.72,0.05
OpenLogin8181814277,10,3544,1053,4987,4987,22023,963,22023,0.000%,.09025,0.60,0.04
TOTAL,764,2005,529,3465,5656,22023,13,120977,3.272%,2.47870,43.66,0.98
