Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,22,232,223,297,301,313,161,313,0.00%,0.0727,0.06,0.02
Send OTP ,22,492,480,557,581,591,451,591,0.00%,0.07267,0.06,0.02
OpenLogin ,22,9853,7922,17784,22010,26408,2048,26408,0.00%,0.07167,0.47,0.03
Product Listing Page (PLP),21,27,26,34,42,57,14,57,0.00%,0.07398,2.7,0.04
Get Product List for Compare,21,213,204,266,297,307,164,307,0.00%,0.07393,0.06,0.03
To Add Product To Compare,21,707,701,829,872,1007,560,1007,0.00%,0.07383,0.06,0.03
Get Compare List after adding Product,21,644,619,745,792,821,544,821,0.00%,0.07387,0.09,0.03
To Remove Product from Compare List ,21,246,196,401,405,603,168,603,0.00%,0.07402,0.06,0.03
Product Description Page (PDP),21,1132,1123,1403,1507,1658,802,1658,0.00%,0.07391,6.15,0.02
Get Product details with seller,21,902,888,1000,1056,1065,776,1065,0.00%,0.07406,0.56,0.02
Add Product to WishList,21,8710,8867,12335,12785,13018,4250,13018,0.00%,0.07156,0.05,0.02
Add To Cart,20,11397,11110,23028,24003,28191,3283,28191,0.00%,0.0731,0.08,0.06
Buy Now ,20,10536,8829,18925,20393,26854,3076,26854,0.00%,0.07335,0.08,0.04
Instabuy pop-up,20,1720,1634,2375,2532,3158,1159,3158,0.00%,0.07425,0.49,0.02
Exchange Pop-up,17,318,307,367,380,438,254,438,0.00%,0.07017,0.25,0.02
Remove Exchange,17,237,225,260,315,380,194,380,0.00%,0.07017,0.06,0.03
Deactivate Exchange,17,298,273,376,474,642,201,642,0.00%,0.07018,0.06,0.03
Notify Me (if product is out of stock),17,214,205,237,293,295,180,295,0.00%,0.07022,0.06,0.03
Place Order,17,10448,3971,20207,24904,38278,2288,38278,0.00%,0.06635,9.46,0.02
TOTAL,379,3076,616,11227,14403,24904,14,38278,0.00%,1.21364,18.08,0.48
