Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,24,253,213,378,381,382,130,382,0.000%,.08438,0.07,0.02
OpenLogin ,24,2047,1747,3235,4273,4293,1012,4293,0.000%,.08392,0.14,0.03
TriggerOTP ,24,1440,1352,2080,2240,2294,483,2294,0.000%,.08378,0.30,0.04
Product Listing Page (PLP),24,21,21,25,29,30,18,30,0.000%,.08416,2.76,0.05
Get Product List for Compare,24,320,228,709,729,756,121,756,0.000%,.08411,0.07,0.03
To Add Product To Compare,24,1210,991,2046,2069,2128,452,2128,0.000%,.08369,0.07,0.03
Get Compare List after adding Product,24,854,758,1604,1611,1690,296,1690,0.000%,.08406,0.11,0.03
To Remove Product from Compare List ,24,1222,1402,1849,1892,1905,441,1905,0.000%,.08401,0.07,0.03
Get Compare List after removing Product,24,243,226,390,401,405,110,405,0.000%,.08439,0.07,0.03
Product Description Page (PDP),24,4501,4482,6600,6618,6723,2345,6723,0.000%,.08374,0.82,0.02
Get Product details with seller,24,4763,4497,7410,8364,8383,1142,8383,0.000%,.08430,0.34,0.02
Add Product to WishList,24,1316,1323,1926,2359,2903,506,2903,0.000%,.08621,0.06,0.02
Notify Me (if product is out of stock),24,248,185,450,507,621,102,621,0.000%,.08662,0.07,0.04
Add To Cart,24,22608,26282,49857,50484,50494,788,50494,0.000%,.07804,0.08,0.04
Buy Now ,21,18633,15569,37121,37406,40937,824,40937,0.000%,.07776,0.08,0.04
Instabuy pop-up,20,3287,3765,7177,7188,7842,131,7842,0.000%,.08785,0.17,0.03
Exchange Pop-up,20,583,400,1182,1223,1323,197,1323,0.000%,.09090,0.33,0.02
Remove Exchange,20,272,220,316,389,1279,123,1279,0.000%,.09097,0.07,0.03
Deactivate Exchange,20,398,227,774,978,1714,135,1714,0.000%,.09098,0.07,0.03
Place Order,20,5558,7133,10670,10686,11394,523,11394,0.000%,.08770,0.08,0.03
TOTAL,457,3454,837,7170,21099,37406,18,50494,0.000%,1.36911,4.84,0.51
