Login Ui Page,68,270,265,344,395,442,156,526,0.000%,.22301,0.17,0.06
Send OTP ,68,612,585,749,781,855,446,869,0.000%,.22268,0.16,0.07
OpenLogin ,68,2526,1883,6425,6826,7195,1144,7983,0.000%,.22171,21.25,0.10
Product Listing Page (PLP),68,12,12,16,19,19,9,20,0.000%,.22254,7.60,0.12
Get Product List for Compare,66,296,265,411,477,542,163,651,0.000%,.21996,0.18,0.07
To Add Product To Compare,66,1020,979,1396,1515,1639,553,1641,0.000%,.21968,0.18,0.08
Get Compare List after adding Product,66,1052,1035,1323,1459,1565,639,1661,0.000%,.21960,0.26,0.07
To Remove Product from Compare List ,66,1034,996,1329,1438,1638,540,1648,0.000%,.21971,0.17,0.08
Product Description Page (PDP),65,1595,1572,2051,2117,2129,1037,2418,0.000%,.21802,21.30,0.06
Get Product details with seller,64,1665,1621,2184,2333,2416,913,2639,0.000%,.21948,3.01,0.06
Add Product to WishList,64,2014,1991,2510,2773,2859,1246,3014,0.000%,.21875,0.15,0.07
Add To Cart,63,5272,4825,9037,10611,11113,2591,11133,0.000%,.21942,0.23,0.18
Buy Now ,63,4919,4383,8348,8834,9834,2352,11039,0.000%,.21926,0.24,0.13
Instabuy pop-up,61,2013,1980,2518,2548,2631,328,2676,1.639%,.21716,0.92,0.07
Exchange Pop-up,60,549,490,781,844,902,294,1008,0.000%,.21783,0.78,0.05
Remove Exchange,60,369,349,490,529,654,191,732,0.000%,.21797,0.17,0.08
Deactivate Exchange,59,346,311,496,538,556,204,578,0.000%,.21510,0.17,0.08
Notify Me (if product is out of stock),58,290,285,391,416,487,149,576,0.000%,.22111,0.17,0.10
Place Order,58,3743,2672,6583,10494,10923,305,11626,0.000%,.21893,0.25,0.08
TOTAL,1211,1545,980,3694,5547,9463,9,11626,0.083%,3.88390,55.38,1.50
