Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,157,157,157,157,157,157,157,0.000%,6.36943,4.93,1.64
Send OTP ,1,450,450,450,450,450,450,450,0.000%,2.22222,1.64,0.75
OpenLogin,1,3862,3862,3862,3862,3862,3862,3862,0.000%,.25893,3.79,0.12
Product Listing Page (PLP),1,16,16,16,16,16,16,16,0.000%,62.50000,2135.74,34.48
Get Product List for Compare,1,143,143,143,143,143,143,143,0.000%,6.99301,5.58,2.09
To Add Product To Compare,1,474,474,474,474,474,474,474,0.000%,2.10970,1.66,0.80
Get Compare List after adding Product,1,491,491,491,491,491,491,491,0.000%,2.03666,2.22,0.63
To Remove Product from Compare List ,1,479,479,479,479,479,479,479,0.000%,2.08768,1.65,0.75
Product Description Page (PDP),1,780,780,780,780,780,780,780,0.000%,1.28205,19.00,0.35
Get Product details with seller,1,748,748,748,748,748,748,748,0.000%,1.33690,18.38,0.39
Add Product to WishList,1,942,942,942,942,942,942,942,0.000%,1.06157,0.74,0.34
Add To Cart,1,5256,5256,5256,5256,5256,5256,5256,0.000%,.19026,0.20,0.16
Buy Now ,1,5160,5160,5160,5160,5160,5160,5160,0.000%,.19380,0.21,0.11
Instabuy pop-up,1,1159,1159,1159,1159,1159,1159,1159,0.000%,.86281,4.27,0.26
Exchange Pop-up,1,244,244,244,244,244,244,244,0.000%,4.09836,14.65,1.01
Remove Exchange,1,173,173,173,173,173,173,173,0.000%,5.78035,4.47,2.07
Deactivate Exchange,1,176,176,176,176,176,176,176,0.000%,5.68182,4.42,2.04
Notify Me (if product is out of stock) ,1,133,133,133,133,133,133,133,0.000%,7.51880,5.77,3.45
Place Order,1,6451,6451,6451,6451,6451,6451,6451,0.000%,.15501,0.18,0.06
TOTAL,19,1436,479,5160,5256,6451,16,6451,0.000%,.69589,3.56,0.27
