Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,181,181,181,181,181,181,181,0.000%,5.52486,4.38,1.42
Send OTP ,1,449,449,449,449,449,449,449,0.000%,2.22717,1.69,0.75
OpenLogin,1,1012,1012,1012,1012,1012,1012,1012,0.000%,.98814,6.58,0.45
Product Listing Page (PLP),1,29,29,29,29,29,29,29,0.000%,34.48276,1277.68,19.03
Get Product List for Compare,1,249,249,249,249,249,249,249,0.000%,4.01606,3.28,1.41
To Add Product To Compare,1,509,509,509,509,509,509,509,0.000%,1.96464,1.58,0.89
Get Compare List after adding Product,1,528,528,528,528,528,528,528,0.000%,1.89394,2.52,0.68
To Remove Product from Compare List ,1,482,482,482,482,482,482,482,0.000%,2.07469,1.68,0.90
Product Description Page (PDP),1,759,759,759,759,759,759,759,0.000%,1.31752,17.96,0.42
Get Product details with seller,1,754,754,754,754,754,754,754,0.000%,1.32626,3.44,0.44
Add Product to WishList,1,2914,2914,2914,2914,2914,2914,2914,0.000%,.34317,0.25,0.11
Add To Cart,1,3196,3196,3196,3196,3196,3196,3196,0.000%,.31289,0.35,0.27
Buy Now ,1,3188,3188,3188,3188,3188,3188,3188,0.000%,.31368,0.35,0.19
Instabuy pop-up,1,1157,1157,1157,1157,1157,1157,1157,0.000%,.86430,3.42,0.26
Exchange Pop-up,1,255,255,255,255,255,255,255,0.000%,3.92157,14.09,0.97
Remove Exchange,1,175,175,175,175,175,175,175,0.000%,5.71429,4.53,2.06
Deactivate Exchange,1,183,183,183,183,183,183,183,0.000%,5.46448,4.35,1.97
Notify Me (if product is out of stock) ,1,191,191,191,191,191,191,191,0.000%,5.23560,4.12,2.64
Place Order,1,1424,1424,1424,1424,1424,1424,1424,0.000%,.70225,0.91,0.26
TOTAL,19,928,509,2914,3188,3196,29,3196,0.000%,1.07704,4.50,0.44
