Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,41,121,110,162,184,209,95,209,0.000%,.13604,0.11,0.03
TriggerOTP ,41,420,416,454,458,492,390,492,0.000%,.13594,0.10,0.05
OpenLogin ,41,2997,2841,4956,4981,5138,1078,5138,0.000%,.13395,8.69,0.06
Product Listing Page (PLP),40,20,19,24,25,43,17,43,0.000%,.13355,3.91,0.07
Get Product List for Compare,39,110,108,120,126,142,97,142,0.000%,.13034,0.10,0.04
To Add Product To Compare,38,335,332,379,399,520,286,520,0.000%,.12883,0.10,0.05
Get Compare List after adding Product,38,305,298,335,379,426,267,426,0.000%,.12886,0.14,0.04
To Remove Product from Compare List ,38,319,313,356,367,457,283,457,0.000%,.12886,0.10,0.05
Product Description Page (PDP),37,546,543,611,659,673,468,673,0.000%,.13519,3.33,0.04
Get Product details with seller,37,555,540,629,664,706,474,706,0.000%,.13515,0.65,0.04
Add Product to WishList,37,646,638,720,745,773,543,773,0.000%,.13506,0.09,0.04
Add To Cart,37,4270,4062,6182,6291,6592,2121,6592,0.000%,.13231,0.14,0.11
Buy Now ,37,4215,4098,5994,6134,6149,2032,6149,0.000%,.13043,0.14,0.07
Instabuy pop-up,37,2577,2925,2983,3052,3181,1270,3181,0.000%,.13002,0.56,0.04
Exchange Pop-up,36,175,172,195,206,209,148,209,0.000%,.13413,0.48,0.03
Remove Exchange,36,128,123,146,150,208,111,208,0.000%,.13416,0.10,0.05
Deactivate Exchange,36,133,131,157,162,164,114,164,0.000%,.13417,0.10,0.05
Notify Me (if product is out of stock),36,106,99,132,133,179,90,179,0.000%,.13418,0.10,0.06
Place Order,36,3750,3214,6956,7218,7611,1431,7611,0.000%,.13265,0.15,0.05
TOTAL,718,1135,351,3758,4928,6811,17,7611,0.000%,2.32618,18.24,0.88
