Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,119,119,119,119,119,119,119,0.000%,8.40336,6.50,2.16
TriggerOTP ,1,412,412,412,412,412,412,412,0.000%,2.42718,1.80,0.82
OpenLogin ,1,2724,2724,2724,2724,2724,2724,2724,0.000%,.36711,1.34,0.17
Product Listing Page (PLP),1,22,22,22,22,22,22,22,0.000%,45.45455,1330.30,24.41
Get Product List for Compare,1,107,107,107,107,107,107,107,0.000%,9.34579,7.46,2.79
To Add Product To Compare,1,294,294,294,294,294,294,294,0.000%,3.40136,2.67,1.30
Get Compare List after adding Product,1,266,266,266,266,266,266,266,0.000%,3.75940,4.12,1.16
To Remove Product from Compare List ,1,297,297,297,297,297,297,297,0.000%,3.36700,2.65,1.22
Product Description Page (PDP),1,520,520,520,520,520,520,520,0.000%,1.92308,69.54,0.54
Get Product details with seller,1,520,520,520,520,520,520,520,0.000%,1.92308,8.85,0.56
Add Product to WishList,1,504,504,504,504,504,504,504,0.000%,1.98413,1.38,0.63
Add To Cart,1,5809,5809,5809,5809,5809,5809,5809,0.000%,.17215,0.18,0.14
Buy Now ,1,3703,3703,3703,3703,3703,3703,3703,0.000%,.27005,0.29,0.15
Instabuy pop-up,1,7702,7702,7702,7702,7702,7702,7702,0.000%,.12984,0.51,0.04
Exchange Pop-up,1,157,157,157,157,157,157,157,0.000%,6.36943,22.77,1.57
Remove Exchange,1,117,117,117,117,117,117,117,0.000%,8.54701,6.61,3.06
Deactivate Exchange,1,138,138,138,138,138,138,138,0.000%,7.24638,5.63,2.60
Notify Me (if product is out of stock),1,96,96,96,96,96,96,96,0.000%,10.41667,8.00,4.70
Place Order,1,3100,3100,3100,3100,3100,3100,3100,0.000%,.32258,0.37,0.11
TOTAL,19,1400,297,3703,5809,7702,22,7702,0.000%,.71375,3.47,0.27
