Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,64,214,215,228,237,249,191,261,0.000%,.21879,0.17,0.06
Send OTP ,64,523,509,593,609,668,464,695,0.000%,.21857,0.17,0.07
OpenLogin,64,1858,1718,2586,2699,2804,1345,3029,0.000%,.21670,1.44,0.10
Product Listing Page (PLP),64,16,15,19,21,23,13,39,0.000%,.21778,8.11,0.12
Get Product List for Compare,64,208,206,228,232,239,182,248,0.000%,.21764,0.18,0.08
To Add Product To Compare,64,581,615,660,676,698,199,709,0.000%,.21734,0.18,0.09
Get Compare List after adding Product,64,664,645,768,814,917,548,1019,0.000%,.21732,0.28,0.08
To Remove Product from Compare List ,64,535,594,655,664,677,198,680,0.000%,.21748,0.18,0.09
Product Description Page (PDP),64,1110,1003,1457,1552,1579,816,1678,0.000%,.21673,15.47,0.06
Get Product details with seller,64,921,931,1000,1022,1030,778,1044,0.000%,.21675,1.49,0.06
Add Product to WishList,64,4257,4299,4772,4833,4997,3511,5028,0.000%,.21494,0.15,0.07
Add To Cart,64,4520,4082,5025,5156,5284,2066,34616,0.000%,.21425,0.23,0.16
Buy Now,62,3896,3575,5079,5282,5884,2926,13093,0.000%,.21135,0.23,0.12
Instabuy pop-up,60,1573,1553,1707,1744,1796,1371,1824,0.000%,.20730,0.93,0.06
Exchange Pop-up,59,313,312,341,342,352,278,359,0.000%,.21747,0.78,0.05
Remove Exchange,59,228,227,248,253,257,208,257,0.000%,.21754,0.17,0.08
Deactivate Exchange,59,243,241,265,283,296,207,302,0.000%,.21755,0.17,0.08
Notify Me (if product is out of stock) ,59,209,208,227,237,248,175,293,0.000%,.21757,0.17,0.10
Place Order,59,2585,2307,3567,3667,3869,2002,4052,0.000%,.21593,0.28,0.08
TOTAL,1185,1294,619,3855,4258,5079,13,34616,0.000%,3.83503,29.25,1.50
