Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,84,66,61,90,110,128,40,164,0.000%,.27866,0.27,0.07
OpenLogin ,84,1815,1208,3072,6241,7761,969,9777,0.000%,.27773,0.48,0.15
TriggerOTP,84,955,896,1353,1482,1597,641,2153,0.000%,.27754,3.94,0.20
Product Listing Page (PLP),84,172,34,516,698,782,27,822,0.000%,.27832,9.13,0.14
Get Product List for Compare,84,224,206,296,347,371,149,485,0.000%,.27844,0.23,0.08
To Add Product To Compare ,84,669,627,856,977,1034,495,1244,0.000%,.27803,0.23,0.11
Get Compare List after adding Product,84,640,608,846,926,1093,419,1122,0.000%,.27812,0.35,0.09
To Remove Product from Compare List,83,646,617,778,888,1174,454,1280,0.000%,.27806,0.22,0.10
Product Description Page (PDP),83,488,421,761,904,1303,297,1379,0.000%,.27838,12.11,0.08
Get Product details with seller,83,425,398,581,623,696,274,762,0.000%,.27838,3.66,0.08
Add Product to WishList,83,1379,1332,1827,2062,2287,863,2329,0.000%,.27789,0.20,0.08
Notify Me (if product is out of stock),83,205,187,255,308,447,142,577,0.000%,.27923,0.22,0.13
Add To Cart,83,3638,2702,8807,10504,12174,751,12496,0.000%,.27325,0.27,0.19
Buy Now ,82,3118,2322,7119,7808,10885,751,13809,0.000%,.27706,0.28,0.16
Instabuy pop-up,82,1001,1383,1734,1898,2640,155,2951,0.000%,.27663,0.67,0.09
Exchange Pop-up,81,390,339,564,650,744,265,829,0.000%,.27553,1.00,0.07
Remove Exchange,81,257,238,338,403,502,176,592,0.000%,.27558,0.22,0.10
Deactivate Exchange,81,272,239,393,448,534,178,680,0.000%,.27557,0.22,0.10
Place Order,81,2276,2043,3845,9866,11092,463,11173,0.000%,.26834,0.27,0.10
TOTAL,1574,979,541,2107,3305,9271,27,13809,0.000%,5.04020,32.60,2.03
