Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,57,57,57,57,57,57,57,0.000%,17.54386,17.22,4.54
OpenLogin ,1,985,985,985,985,985,985,985,0.000%,1.01523,1.77,0.53
TriggerOTP,1,1440,1440,1440,1440,1440,1440,1440,0.000%,.69444,2.54,0.49
Product Listing Page (PLP),1,976,976,976,976,976,976,976,0.000%,1.02459,33.08,0.52
Get Product List for Compare,1,164,164,164,164,164,164,164,0.000%,6.09756,4.95,1.85
To Add Product To Compare ,1,489,489,489,489,489,489,489,0.000%,2.04499,1.64,0.78
Get Compare List after adding Product,1,412,412,412,412,412,412,412,0.000%,2.42718,2.69,0.76
Product Description Page (PDP),1,327,327,327,327,327,327,327,0.000%,3.05810,175.69,0.85
Get Product details with seller,1,348,348,348,348,348,348,348,0.000%,2.87356,38.32,0.83
Add Product to WishList,1,1647,1647,1647,1647,1647,1647,1647,0.000%,.60716,0.43,0.18
Add To Cart,1,2667,2667,2667,2667,2667,2667,2667,0.000%,.37495,0.40,0.26
Buy Now ,1,2757,2757,2757,2757,2757,2757,2757,0.000%,.36271,0.39,0.21
Instabuy pop-up,1,1467,1467,1467,1467,1467,1467,1467,0.000%,.68166,2.54,0.21
Exchange Pop-up,1,343,343,343,343,343,343,343,0.000%,2.91545,10.56,0.73
Remove Exchange,1,182,182,182,182,182,182,182,0.000%,5.49451,4.33,2.03
Deactivate Exchange,1,176,176,176,176,176,176,176,0.000%,5.68182,4.50,2.11
Notify Me (if product is out of stock),1,134,134,134,134,134,134,134,0.000%,7.46269,5.84,3.46
Place Order,1,3746,3746,3746,3746,3746,3746,3746,0.000%,.26695,0.31,0.10
TOTAL,18,1017,412,2667,2757,3746,57,3746,0.000%,.98210,6.87,0.40
