Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,76,256,264,337,377,418,122,555,0.000%,.24961,0.19,0.06
OpenLogin ,76,1331,1276,1532,1583,2201,951,3350,0.000%,.24871,0.43,0.09
TriggerOTP ,75,1022,932,1484,1780,2040,536,2073,0.000%,.25167,0.90,0.13
Product Listing Page (PLP),75,26,18,23,33,92,15,479,0.000%,.25319,8.30,0.14
Get Product List for Compare,75,276,282,376,432,490,118,505,0.000%,.25291,0.20,0.08
To Add Product To Compare,75,861,862,1185,1236,1307,363,1319,0.000%,.25239,0.20,0.09
Get Compare List after adding Product,75,882,906,1186,1279,1446,299,1474,0.000%,.25256,0.30,0.08
To Remove Product from Compare List ,75,890,924,1143,1185,1318,321,1397,0.000%,.25293,0.20,0.09
Get Compare List after removing Product,75,316,288,394,424,1023,129,1152,0.000%,.25369,0.21,0.08
Product Description Page (PDP),75,516,504,706,731,848,248,903,0.000%,.25423,2.74,0.07
Get Product details with seller,75,510,502,676,689,918,278,931,0.000%,.25452,1.01,0.07
Add Product to WishList,75,1413,1449,1906,2043,2109,616,2156,0.000%,.25382,0.18,0.07
Notify Me (if product is out of stock),74,271,276,373,393,435,100,477,0.000%,.25241,0.19,0.12
Add To Cart,74,3511,3730,5692,5890,6345,665,6728,0.000%,.25180,0.26,0.14
Buy Now ,73,3593,4050,5110,5247,5873,619,6876,0.000%,.25146,0.26,0.14
Instabuy pop-up,72,1589,1668,2265,2405,2531,256,3269,0.000%,.25274,0.59,0.08
Exchange Pop-up,71,469,491,602,609,679,221,1023,0.000%,.25372,0.91,0.06
Remove Exchange,71,314,325,406,464,516,132,523,0.000%,.25408,0.20,0.09
Deactivate Exchange,71,325,323,424,475,504,156,532,0.000%,.25404,0.20,0.09
Place Order,71,1341,1045,2422,2471,2630,507,4409,0.000%,.25361,0.22,0.09
TOTAL,1479,983,606,2111,3831,5207,15,6876,0.000%,4.80933,16.93,1.78
