Login Ui Page,490,1572,1670,1833,1917,2307,206,2907,0.000%,.54928,0.42,0.14
Send OTP ,490,2381,2498,2654,2752,3267,494,7846,0.000%,.54786,0.41,0.18
OpenLogin ,490,14140,9627,38718,39428,40512,1463,43953,0.000%,.53975,36.83,0.24
Product Listing Page (PLP),486,12,12,15,17,33,9,61,0.000%,.54382,18.58,0.30
Get Product List for Compare,486,2013,2128,2273,2321,2506,152,6779,0.000%,.54258,0.43,0.16
To Add Product To Compare,482,7491,7968,8280,8404,9279,470,12922,0.000%,.53631,0.45,0.20
Get Compare List after adding Product,476,7656,7768,8951,9122,9472,572,12646,0.000%,.53057,0.74,0.16
To Remove Product from Compare List ,474,7536,7895,8213,8333,8714,861,11207,0.000%,.52933,0.42,0.19
Product Description Page (PDP),469,12161,12450,13569,13820,14492,2164,16891,0.000%,.52446,52.09,0.15
Get Product details with seller,463,12212,12441,13498,13876,14361,2759,16314,0.000%,.51912,7.11,0.15
Add Product to WishList,457,15483,15397,18454,18790,19173,5773,20230,0.000%,.51502,0.36,0.16
Add To Cart,449,28706,26693,49135,54424,59044,6693,61722,0.000%,.50737,0.53,0.42
Buy Now ,430,27556,24032,45420,52610,53662,10600,55116,0.000%,.49030,0.53,0.28
Instabuy pop-up,413,13656,13522,18653,20205,24419,1807,26938,3.390%,.47993,1.96,0.15
Exchange Pop-up,406,3797,3744,3942,4004,7151,2820,8706,0.000%,.48153,1.72,0.12
Remove Exchange,402,2545,2515,2674,2731,2962,2165,7422,0.000%,.47964,0.37,0.17
Deactivate Exchange,400,2567,2515,2676,2737,4759,2234,7638,0.000%,.48162,0.37,0.17
Notify Me (if product is out of stock),400,1958,1950,2104,2158,2267,1615,2584,0.000%,.48178,0.37,0.22
Place Order,399,14395,14948,24807,25922,63881,1861,64776,0.000%,.47540,117.36,0.15
TOTAL,8562,9298,7710,23106,26766,50670,9,64776,0.164%,9.36849,229.08,3.60
