Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,188,188,188,188,188,188,188,0.000%,5.31915,4.12,1.37
Send OTP ,1,415,415,415,415,415,415,415,0.000%,2.40964,1.78,0.81
OpenLogin,1,3451,3451,3451,3451,3451,3451,3451,0.000%,.28977,4.24,0.13
Product Listing Page (PLP),1,17,17,17,17,17,17,17,0.000%,58.82353,2010.11,32.46
Get Product List for Compare,1,136,136,136,136,136,136,136,0.000%,7.35294,5.87,2.20
To Add Product To Compare,1,458,458,458,458,458,458,458,0.000%,2.18341,1.72,0.82
Get Compare List after adding Product,1,454,454,454,454,454,454,454,0.000%,2.20264,2.40,0.68
To Remove Product from Compare List ,1,444,444,444,444,444,444,444,0.000%,2.25225,1.78,0.81
Product Description Page (PDP),1,723,723,723,723,723,723,723,0.000%,1.38313,20.50,0.38
Get Product details with seller,1,696,696,696,696,696,696,696,0.000%,1.43678,19.76,0.41
Add Product to WishList,1,905,905,905,905,905,905,905,0.000%,1.10497,0.77,0.35
Add To Cart,1,4297,4297,4297,4297,4297,4297,4297,0.000%,.23272,0.25,0.19
Buy Now ,1,4253,4253,4253,4253,4253,4253,4253,0.000%,.23513,0.25,0.14
Instabuy pop-up,1,1079,1079,1079,1079,1079,1079,1079,0.000%,.92678,4.58,0.28
Exchange Pop-up,1,224,224,224,224,224,224,224,0.000%,4.46429,15.96,1.10
Remove Exchange,1,162,162,162,162,162,162,162,0.000%,6.17284,4.77,2.21
Deactivate Exchange,1,159,159,159,159,159,159,159,0.000%,6.28931,4.89,2.26
Notify Me (if product is out of stock) ,1,126,126,126,126,126,126,126,0.000%,7.93651,6.09,3.64
Place Order,1,5826,5826,5826,5826,5826,5826,5826,0.000%,.17164,0.20,0.06
TOTAL,19,1263,454,4253,4297,5826,17,5826,0.000%,.79101,4.05,0.30
