Login Ui Page,342,283,265,413,478,560,140,691,0.000%,.56034,0.43,0.14
Send OTP ,340,643,602,844,911,1344,437,1796,0.000%,.55805,0.41,0.19
OpenLogin ,336,1778,1730,2234,2360,2688,981,3566,0.000%,.55187,23.60,0.25
Product Listing Page (PLP),334,28,22,46,62,109,12,176,0.000%,.57657,1.67,0.32
Get Product List for Compare,334,372,365,542,584,655,148,686,0.000%,.57597,0.46,0.17
To Add Product To Compare,334,1326,1311,1828,1965,2205,532,2297,0.000%,.57465,0.50,0.22
Get Compare List after adding Product,334,1537,1543,2153,2247,2383,511,2651,0.000%,.57356,0.95,0.18
To Remove Product from Compare List ,334,1545,1609,1979,2094,2204,506,2305,0.000%,.57294,0.47,0.20
Product Description Page (PDP),334,2669,2764,3172,3245,3494,1308,3594,0.000%,.57080,52.40,0.16
Get Product details with seller,334,2683,2777,3151,3240,3366,1093,3461,0.000%,.57054,7.35,0.16
Add Product to WishList,334,3292,3350,3810,3941,4153,1323,4477,0.000%,.57050,0.40,0.18
Add To Cart,334,6843,7131,8303,8654,9020,3005,9659,0.000%,.56898,0.60,0.47
Buy Now ,334,5967,6338,7175,7406,7982,2809,9187,0.000%,.57013,0.61,0.33
Instabuy pop-up,332,2964,2902,4722,4953,5913,136,6858,7.530%,.57493,2.21,0.18
Exchange Pop-up,330,578,561,834,901,1007,258,1106,0.000%,.57698,2.06,0.14
Remove Exchange,328,401,384,582,642,774,175,880,0.000%,.57497,0.44,0.21
Deactivate Exchange,323,385,363,557,601,688,169,735,0.000%,.56789,0.44,0.20
Notify Me (if product is out of stock),322,310,286,453,519,594,130,936,0.000%,.56783,0.44,0.26
Place Order,317,2085,2175,3888,4230,5293,181,5856,0.000%,.56031,136.29,0.18
TOTAL,6310,1882,1247,4636,6636,7995,12,9659,0.396%,10.29612,217.76,3.94
