Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,54,317,293,510,535,660,122,696,0.000%,.17788,0.14,0.05
TriggerOTP,54,730,664,915,935,1251,466,2776,0.000%,.17770,0.13,0.06
OpenLogin ,54,5641,3891,12245,13131,13435,1921,14474,0.000%,.17482,18.26,0.08
Product Listing Page (PLP),53,14,13,16,17,17,10,50,0.000%,.17617,5.14,0.10
Get Product List for Compare,53,359,368,563,629,666,103,923,0.000%,.17610,0.14,0.05
To Add Product To Compare,53,1324,1375,1985,2032,2596,401,2803,0.000%,.17501,0.14,0.07
Get Compare List after adding Product,52,1174,1071,1857,2173,2244,353,2311,0.000%,.17475,0.21,0.05
To Remove Product from Compare List ,52,1390,1384,1891,2051,2156,549,2171,0.000%,.17446,0.14,0.06
Product Description Page (PDP),51,2075,2057,2970,3402,3693,777,4231,0.000%,.17231,5.53,0.05
Get Product details with seller,50,2045,2024,2760,2838,3710,714,3710,0.000%,.17566,1.10,0.05
Add Product to WishList,50,2636,2334,4289,4614,5330,714,5330,0.000%,.17591,0.12,0.06
Add To Cart,50,8275,7157,15095,15804,19713,2716,19713,0.000%,.17321,0.18,0.14
Buy Now ,48,7698,6414,15421,16021,19354,2564,19354,0.000%,.17304,0.18,0.10
Instabuy pop-up,47,2286,2295,3974,4420,4756,250,4756,0.000%,.17660,0.61,0.05
Exchange Pop-up,47,599,588,820,895,1322,195,1322,0.000%,.17847,0.64,0.04
Remove Exchange,46,412,373,579,714,1090,154,1090,0.000%,.17896,0.14,0.06
Deactivate Exchange,46,418,409,631,650,736,130,736,0.000%,.17869,0.14,0.06
Notify Me (if product is out of stock),46,363,326,549,570,814,109,814,0.000%,.17851,0.14,0.08
Place Order,46,5113,2606,18485,19945,21978,231,21978,0.000%,.17512,10.95,0.06
TOTAL,952,2241,1013,5421,8079,16921,10,21978,0.000%,3.01913,40.77,1.16
