Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,500,58,48,92,117,183,36,196,0.000%,.55594,0.55,0.14
OpenLogin ,500,17818,18277,28121,31652,37357,2029,37981,0.000%,.54701,0.91,0.29
TriggerOTP,498,10622,11092,13207,14005,15257,643,16175,56.426%,.54979,1.56,0.39
Get Product List for Compare,495,9628,10133,11802,12212,12908,459,13464,0.000%,.54599,0.45,0.17
Product Listing Page (PLP),490,18,17,22,27,41,14,93,0.000%,.54696,17.55,0.28
To Add Product To Compare ,490,12184,12682,14335,14794,15706,1305,16119,7.143%,.54009,0.46,0.20
Get Compare List after adding Product,482,12401,12715,14469,14804,15469,1143,16538,0.000%,.53300,0.79,0.17
To Remove Product from Compare List,472,12154,12557,14019,14479,15113,1349,15710,7.415%,.52223,0.42,0.19
Product Description Page (PDP),454,9780,10256,11612,12096,12765,682,13798,0.000%,.50423,4.56,0.14
Get Product details with seller,446,9654,10068,11544,11908,13048,752,13971,0.000%,.49573,2.45,0.14
Add Product to WishList,437,11904,10234,18543,19198,21064,385,22152,56.979%,.48350,0.36,0.14
Notify Me (if product is out of stock),424,8952,9497,10796,11167,11731,402,12608,0.000%,.47419,0.37,0.22
Add To Cart,421,14602,10701,26242,27196,29312,858,30701,0.000%,.46703,0.43,0.27
Buy Now ,415,14322,10786,25609,26831,28682,1459,29478,0.000%,.46092,0.42,0.26
Instabuy pop-up,413,10978,10560,15622,16499,18008,1329,19295,2.663%,.46291,0.80,0.14
Exchange Pop-up,411,10020,10278,11857,12338,13303,1887,13934,0.000%,.46337,1.68,0.12
Remove Exchange,410,9471,9698,11632,11969,12519,2149,13232,0.000%,.46522,0.37,0.17
Deactivate Exchange,409,9611,9721,11790,12342,12996,2013,13852,0.000%,.46171,0.37,0.17
Place Order,403,12996,10103,23984,35070,44684,3037,46686,0.000%,.45261,11.13,0.16
TOTAL,8570,10295,10365,15401,21989,28697,14,46686,7.130%,9.36680,44.68,3.69
