Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,56,56,56,56,56,56,56,0.000%,17.85714,17.54,4.62
OpenLogin ,1,3797,3797,3797,3797,3797,3797,3797,0.000%,.26337,0.44,0.14
TriggerOTP,1,576,576,576,576,576,576,576,0.000%,1.73611,6.26,1.23
Product Listing Page (PLP),1,25,25,25,25,25,25,25,0.000%,40.00000,1283.55,20.27
Get Product List for Compare,1,175,175,175,175,175,175,175,0.000%,5.71429,4.68,1.74
To Add Product To Compare ,1,475,475,475,475,475,475,475,0.000%,2.10526,1.69,0.79
Get Compare List after adding Product,1,413,413,413,413,413,413,413,0.000%,2.42131,2.67,0.76
To Remove Product from Compare List,1,467,467,467,467,467,467,467,0.000%,2.14133,1.72,0.76
Product Description Page (PDP),1,257,257,257,257,257,257,257,0.000%,3.89105,28.23,1.06
Get Product details with seller,1,276,276,276,276,276,276,276,0.000%,3.62319,17.95,1.04
Add Product to WishList,1,2831,2831,2831,2831,2831,2831,2831,0.000%,.35323,0.25,0.10
Add To Cart,1,1833,1833,1833,1833,1833,1833,1833,0.000%,.54555,0.50,0.31
Buy Now ,1,2118,2118,2118,2118,2118,2118,2118,0.000%,.47214,0.44,0.27
Instabuy pop-up,1,1405,1405,1405,1405,1405,1405,1405,0.000%,.71174,2.83,0.22
Exchange Pop-up,1,292,292,292,292,292,292,292,0.000%,3.42466,12.46,0.86
Remove Exchange,1,172,172,172,172,172,172,172,0.000%,5.81395,4.59,2.15
Deactivate Exchange,1,200,200,200,200,200,200,200,0.000%,5.00000,3.96,1.86
Notify Me (if product is out of stock),1,156,156,156,156,156,156,156,0.000%,6.41026,5.02,2.95
Place Order,1,4855,4855,4855,4855,4855,4855,4855,0.000%,.20597,0.19,0.08
TOTAL,19,1072,413,2831,3797,4855,25,4855,0.000%,.81245,2.89,0.32
