Login Ui Page,34,252,242,314,333,374,177,374,0.000%,.11205,0.09,0.03
Send OTP ,34,574,547,705,792,818,437,818,0.000%,.11192,0.08,0.04
OpenLogin ,33,4132,3037,7156,7989,8514,1937,8514,0.000%,.11138,0.73,0.05
Product Listing Page (PLP),33,19,18,25,25,40,14,40,0.000%,.11229,3.06,0.06
Get Product List for Compare,33,261,246,334,407,504,177,504,0.000%,.11221,0.09,0.04
To Add Product To Compare,33,824,789,1055,1121,1745,327,1745,0.000%,.11207,0.09,0.05
Get Compare List after adding Product,33,797,706,1099,1354,1527,556,1527,0.000%,.11211,0.14,0.04
To Remove Product from Compare List ,32,261,232,359,371,601,187,601,0.000%,.11174,0.09,0.04
Product Description Page (PDP),32,1360,1196,1846,1905,3443,969,3443,0.000%,.11146,4.93,0.03
Get Product details with seller,32,1367,1277,1803,1809,2455,985,2455,0.000%,.11175,0.78,0.03
Add Product to WishList,32,5262,4801,7253,7349,9258,2953,9258,0.000%,.11072,0.08,0.04
Add To Cart,31,4714,2404,10585,11713,12387,1293,12387,0.000%,.11052,0.11,0.09
Buy Now ,31,4569,2796,8879,9036,12710,1453,12710,0.000%,.10803,0.10,0.06
Instabuy pop-up,30,789,329,1990,2027,2361,182,2361,0.000%,.11148,0.26,0.03
Exchange Pop-up,30,405,358,550,598,807,281,807,0.000%,.11153,0.40,0.03
Remove Exchange,30,297,260,425,440,630,198,630,0.000%,.11174,0.09,0.04
Deactivate Exchange,30,337,277,503,611,975,192,975,0.000%,.11183,0.09,0.04
Notify Me (if product is out of stock),30,262,238,367,411,483,184,483,0.000%,.11190,0.09,0.05
Place Order,30,3116,761,9562,11631,13061,212,13061,0.000%,.11193,0.11,0.04
TOTAL,603,1551,611,4485,7747,11631,14,13061,0.000%,1.93040,10.51,0.76
