Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,221,221,221,221,221,221,221,0.000%,4.52489,3.50,1.16
Send OTP ,1,435,435,435,435,435,435,435,0.000%,2.29885,1.70,0.77
OpenLogin,1,5171,5171,5171,5171,5171,5171,5171,0.000%,.19339,1.22,0.09
Product Listing Page (PLP),1,25,25,25,25,25,25,25,0.000%,40.00000,1193.79,22.23
Get Product List for Compare,1,154,154,154,154,154,154,154,0.000%,6.49351,5.18,2.28
To Add Product To Compare,1,480,480,480,480,480,480,480,0.000%,2.08333,1.64,0.86
Get Compare List after adding Product,1,524,524,524,524,524,524,524,0.000%,1.90840,2.25,0.69
To Remove Product from Compare List ,1,478,478,478,478,478,478,478,0.000%,2.09205,1.65,0.82
Product Description Page (PDP),1,855,855,855,855,855,855,855,0.000%,1.16959,132.52,0.32
Get Product details with seller,1,1131,1131,1131,1131,1131,1131,1131,0.000%,.88417,7.14,0.26
Add Product to WishList,1,3020,3020,3020,3020,3020,3020,3020,0.000%,.33113,0.23,0.10
Add To Cart,1,5309,5309,5309,5309,5309,5309,5309,0.000%,.18836,0.20,0.16
Buy Now ,1,5402,5402,5402,5402,5402,5402,5402,0.000%,.18512,0.20,0.11
Instabuy pop-up,1,1794,1794,1794,1794,1794,1794,1794,0.000%,.55741,2.50,0.17
Exchange Pop-up,1,425,425,425,425,425,425,425,0.000%,2.35294,8.41,0.58
Remove Exchange,1,210,210,210,210,210,210,210,0.000%,4.76190,3.68,1.72
Deactivate Exchange,1,236,236,236,236,236,236,236,0.000%,4.23729,3.29,1.53
Notify Me (if product is out of stock) ,1,151,151,151,151,151,151,151,0.000%,6.62252,5.08,3.08
Place Order,1,4513,4513,4513,4513,4513,4513,4513,0.000%,.22158,0.28,0.08
TOTAL,19,1607,480,5171,5309,5402,25,5402,0.000%,.61913,5.77,0.25
