Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,197,197,197,197,197,197,197,0.000%,5.07614,3.97,1.30
Send OTP ,1,402,402,402,402,402,402,402,0.000%,2.48756,1.86,0.84
OpenLogin,1,4235,4235,4235,4235,4235,4235,4235,0.000%,.23613,1.58,0.11
Product Listing Page (PLP),1,20,20,20,20,20,20,20,0.000%,50.00000,1852.59,27.59
Get Product List for Compare,1,207,207,207,207,207,207,207,0.000%,4.83092,3.89,1.69
To Add Product To Compare,1,648,648,648,648,648,648,648,0.000%,1.54321,1.22,0.70
Get Compare List after adding Product,1,573,573,573,573,573,573,573,0.000%,1.74520,2.30,0.63
To Remove Product from Compare List ,1,509,509,509,509,509,509,509,0.000%,1.96464,1.56,0.85
Product Description Page (PDP),1,756,756,756,756,756,756,756,0.000%,1.32275,12.42,0.42
Get Product details with seller,1,805,805,805,805,805,805,805,0.000%,1.24224,3.21,0.41
Add Product to WishList,1,5371,5371,5371,5371,5371,5371,5371,0.000%,.18619,0.13,0.06
Add To Cart,1,3322,3322,3322,3322,3322,3322,3322,0.000%,.30102,0.29,0.26
Buy Now ,1,3258,3258,3258,3258,3258,3258,3258,0.000%,.30694,0.29,0.19
Instabuy pop-up,1,168,168,168,168,168,168,168,0.000%,5.95238,3.85,1.81
Exchange Pop-up,1,252,252,252,252,252,252,252,0.000%,3.96825,14.22,0.98
Remove Exchange,1,181,181,181,181,181,181,181,0.000%,5.52486,4.32,1.98
Deactivate Exchange,1,177,177,177,177,177,177,177,0.000%,5.64972,4.44,2.03
Notify Me (if product is out of stock) ,1,178,178,178,178,178,178,178,0.000%,5.61798,4.36,2.83
Place Order,1,529,529,529,529,529,529,529,0.000%,1.89036,1.62,0.70
TOTAL,19,1146,509,3322,4235,5371,20,5371,0.000%,.87176,3.26,0.36
